Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Select Network
AETNA		IN	Rx Generic	$10		AETNA 20 500
AETNA		IN	Rx Preferred	$25		AETNA 20 500
AETNA		IN	Rx Non-Preferred	$45		AETNA 20 500
AETNA		IN	Rx Specialty	20%	$150 max per Rx	AETNA 20 500
AETNA		IN	Rx Mail Order	2x	copay except generic	AETNA 20 500
AETNA		IN	Rx Individual Deductible			AETNA 20 500
AETNA		IN	Rx Family Deductible			AETNA 20 500
AETNA		IN	Skilled Nursing	20%	after deductible	AETNA 20 500
AETNA		OUT	Individual Deductible	"$1,000"		AETNA 20 500
AETNA		OUT	Family Deductible	"$2,000"		AETNA 20 500
AETNA		OUT	Individual OOP Limit	"$6,000"		AETNA 20 500
AETNA		OUT	Family OOP Limit	"$12,000"		AETNA 20 500
AETNA		OUT	Co-insurance	60%		AETNA 20 500
AETNA		OUT	PCP	40%	after deductible	AETNA 20 500
AETNA		OUT	Specialist	40%	after deductible	AETNA 20 500
AETNA		OUT	Preventive Care	40%	after deductible	AETNA 20 500
AETNA		OUT	Physical Therapy	40%	after deductible	AETNA 20 500
AETNA		OUT	Chiropractic Care	40%	after deductible	AETNA 20 500
AETNA		OUT	Inpatient Hospital	$250	"plus 30%, after deductible"	AETNA 20 500
AETNA		OUT	Outpatient Facility	40%	after deductible	AETNA 20 500
AETNA		OUT	Outpatient Surgery	40%	$350 coverage max (after deductible)	AETNA 20 500
AETNA		OUT	Lab/X-Ray	40%	after deductible	AETNA 20 500
AETNA		OUT	Advanced Radiology	40%	$800 coverage max (after deductible)	AETNA 20 500
AETNA		OUT	Emergency Room	$100	plus 30%	AETNA 20 500
AETNA		OUT	Ambulance	20%	after deductible	AETNA 20 500
AETNA		OUT	Urgent Care	40%	after deductible	AETNA 20 500
AETNA		OUT	Rx Generic	$10	plus 50%	AETNA 20 500
AETNA		OUT	Rx Preferred	$50	plus 50%	AETNA 20 500
AETNA		OUT	Rx Non-Preferred	$45	plus 50%	AETNA 20 500
AETNA		OUT	Rx Specialty	20%	plus 50%	AETNA 20 500
AETNA		OUT	Rx Mail Order	Not Covered		AETNA 20 500
AETNA		OUT	Rx Individual Deductible			AETNA 20 500
AETNA		OUT	Rx Family Deductible			AETNA 20 500
AETNA		OUT	Skilled Nursing	40%	after deductible	AETNA 20 500
AETNA	PQ-7	IN	Individual Deductible	"$1,000"		AETNA 20 1000
AETNA		IN	Family Deductible	"$2,000"		AETNA 20 1000
AETNA		IN	Individual OOP Limit	"$4,000"		AETNA 20 1000
AETNA		IN	Family OOP Limit	"$8,000"		AETNA 20 1000
AETNA		IN	Co-insurance	80%		AETNA 20 1000
AETNA		IN	PCP	$20		AETNA 20 1000
AETNA		IN	Specialist	$20		AETNA 20 1000
AETNA		IN	Preventive Care	 	No Charge	AETNA 20 1000
AETNA		IN	Physical Therapy	20%	24 visit max per cal yr (after deductible)	AETNA 20 1000
AETNA		IN	Chiropractic Care	20%	24 visit max per cal yr (after deductible)	AETNA 20 1000
AETNA		IN	Inpatient Hospital	20%	after deductible	AETNA 20 1000
AETNA		IN	Outpatient Facility	20%	after deductible	AETNA 20 1000
AETNA		IN	Outpatient Surgery	20%	after deductible	AETNA 20 1000
AETNA		IN	Lab/X-Ray	20%	after deductible	AETNA 20 1000
AETNA		IN	Advanced Radiology	20%	after deductible	AETNA 20 1000
AETNA		IN	Emergency Room	$100	"plus 10%, Copay waived if admitted (after deductible)"	AETNA 20 1000
AETNA		IN	Ambulance	20%	after deductible	AETNA 20 1000
AETNA		IN	Urgent Care	$20	ded. Waived	AETNA 20 1000
AETNA		IN	Rx Generic	$10		AETNA 20 1000
AETNA		IN	Rx Preferred	$25		AETNA 20 1000
AETNA		IN	Rx Non-Preferred	$45		AETNA 20 1000
AETNA		IN	Rx Specialty	20%	$150 max per Rx	AETNA 20 1000
AETNA		IN	Rx Mail Order	2x	copay except generic	AETNA 20 1000
AETNA		IN	Rx Individual Deductible			AETNA 20 1000
AETNA		IN	Rx Family Deductible			AETNA 20 1000
AETNA		IN	Skilled Nursing	20%	after deductible	AETNA 20 1000
AETNA		OUT	Individual Deductible	"$2,000"		AETNA 20 1000
AETNA		OUT	Family Deductible	"$4,000"		AETNA 20 1000
AETNA		OUT	Individual OOP Limit	"$6,000"		AETNA 20 1000
AETNA		OUT	Family OOP Limit	"$12,000"		AETNA 20 1000
AETNA		OUT	Co-insurance	60%		AETNA 20 1000
AETNA		OUT	PCP	40%	after deductible	AETNA 20 1000
AETNA		OUT	Specialist	40%	after deductible	AETNA 20 1000
AETNA		OUT	Preventive Care	40%	after deductible	AETNA 20 1000
AETNA		OUT	Physical Therapy	40%	after deductible	AETNA 20 1000
AETNA		OUT	Chiropractic Care	40%	after deductible	AETNA 20 1000
AETNA		OUT	Inpatient Hospital	$250	"plus 30%, after deductible"	AETNA 20 1000
AETNA		OUT	Outpatient Facility	40%	after deductible	AETNA 20 1000
AETNA		OUT	Outpatient Surgery	40%	$350 coverage max (after deductible)	AETNA 20 1000
AETNA		OUT	Lab/X-Ray	40%	after deductible	AETNA 20 1000
AETNA		OUT	Advanced Radiology	40%	$800 coverage max (after deductible)	AETNA 20 1000
AETNA		OUT	Emergency Room	$100	plus 30%	AETNA 20 1000
AETNA		OUT	Ambulance	20%	after deductible	AETNA 20 1000
AETNA		OUT	Urgent Care	40%	after deductible	AETNA 20 1000
AETNA		OUT	Rx Generic	$10	plus 50%	AETNA 20 1000
AETNA		OUT	Rx Preferred	$50	plus 50%	AETNA 20 1000
AETNA		OUT	Rx Non-Preferred	$45	plus 50%	AETNA 20 1000
AETNA		OUT	Rx Specialty	20%	plus 50%	AETNA 20 1000
AETNA		OUT	Rx Mail Order	Not Covered		AETNA 20 1000
AETNA		OUT	Rx Individual Deductible			AETNA 20 1000
AETNA		OUT	Rx Family Deductible			AETNA 20 1000
AETNA		OUT	Skilled Nursing	40%	after deductible	AETNA 20 1000
AETNA	PQ-8	IN	Individual Deductible	"$1,000"		AETNA 30
AETNA		IN	Family Deductible	"$2,000"		AETNA 30
AETNA		IN	Individual OOP Limit	"$4,000"		AETNA 30
AETNA		IN	Family OOP Limit	"$8,000"		AETNA 30
AETNA		IN	Co-insurance	80%		AETNA 30
AETNA		IN	PCP	$30		AETNA 30
AETNA		IN	Specialist	$30		AETNA 30
AETNA		IN	Preventive Care	 	No Charge	AETNA 30
AETNA		IN	Physical Therapy	20%	24 visit max per cal yr (after deductible)	AETNA 30
AETNA		IN	Chiropractic Care	20%	24 visit max per cal yr (after deductible)	AETNA 30
AETNA		IN	Inpatient Hospital	20%	after deductible	AETNA 30
AETNA		IN	Outpatient Facility	20%	after deductible	AETNA 30
AETNA		IN	Outpatient Surgery	20%	after deductible	AETNA 30
AETNA		IN	Lab/X-Ray	20%	after deductible	AETNA 30
AETNA		IN	Advanced Radiology	20%	after deductible	AETNA 30
AETNA		IN	Emergency Room	$100	"plus 10%, Copay waived if admitted (after deductible)"	AETNA 30
AETNA		IN	Ambulance	20%	after deductible	AETNA 30
AETNA		IN	Urgent Care	$30	ded. Waived	AETNA 30
AETNA		IN	Rx Generic	$10		AETNA 30
AETNA		IN	Rx Preferred	$25		AETNA 30
AETNA		IN	Rx Non-Preferred	$45		AETNA 30
AETNA		IN	Rx Specialty	20%	$150 max per Rx	AETNA 30
AETNA		IN	Rx Mail Order	2x	copay except generic	AETNA 30
AETNA		IN	Rx Individual Deductible			AETNA 30
AETNA		IN	Rx Family Deductible			AETNA 30
AETNA		IN	Skilled Nursing	20%	after deductible	AETNA 30
AETNA		OUT	Individual Deductible	"$2,000"		AETNA 30
AETNA		OUT	Family Deductible	"$4,000"		AETNA 30
AETNA		OUT	Individual OOP Limit	"$6,000"		AETNA 30
AETNA		OUT	Family OOP Limit	"$12,000"		AETNA 30
AETNA		OUT	Co-insurance	60%		AETNA 30
AETNA		OUT	PCP	40%	after deductible	AETNA 30
AETNA		OUT	Specialist	40%	after deductible	AETNA 30
AETNA		OUT	Preventive Care	40%	after deductible	AETNA 30
AETNA		OUT	Physical Therapy	40%	after deductible	AETNA 30
AETNA		OUT	Chiropractic Care	40%	after deductible	AETNA 30
AETNA		OUT	Inpatient Hospital	$250	"plus 30%, after deductible"	AETNA 30
AETNA		OUT	Outpatient Facility	40%	after deductible	AETNA 30
AETNA		OUT	Outpatient Surgery	40%	$350 coverage max (after deductible)	AETNA 30
AETNA		OUT	Lab/X-Ray	40%	after deductible	AETNA 30
AETNA		OUT	Advanced Radiology	40%	$800 coverage max (after deductible)	AETNA 30
AETNA		OUT	Emergency Room	$100	plus 30%	AETNA 30
AETNA		OUT	Ambulance	20%	after deductible	AETNA 30
AETNA		OUT	Urgent Care	40%	after deductible	AETNA 30
AETNA		OUT	Rx Generic	$10	plus 50%	AETNA 30
AETNA		OUT	Rx Preferred	$50	plus 50%	AETNA 30
AETNA		OUT	Rx Non-Preferred	$45	plus 50%	AETNA 30
AETNA		OUT	Rx Specialty	20%	plus 50%	AETNA 30
AETNA		OUT	Rx Mail Order	Not Covered		AETNA 30
AETNA		OUT	Rx Individual Deductible			AETNA 30
AETNA		OUT	Rx Family Deductible			AETNA 30
AETNA		OUT	Skilled Nursing	40%	after deductible	AETNA 30
AETNA	PQ-9	IN	Individual Deductible	"$1,000"		AETNA 30 1000
AETNA		IN	Family Deductible	"$2,000"		AETNA 30 1000
AETNA		IN	Individual OOP Limit	"$4,000"		AETNA 30 1000
AETNA		IN	Family OOP Limit	"$8,000"		AETNA 30 1000
AETNA		IN	Co-insurance	70%		AETNA 30 1000
AETNA		IN	PCP	$30		AETNA 30 1000
AETNA		IN	Specialist	$30		AETNA 30 1000
AETNA		IN	Preventive Care	 	No Charge	AETNA 30 1000
AETNA		IN	Physical Therapy	30%	24 visit max per cal yr (after deductible)	AETNA 30 1000
AETNA		IN	Chiropractic Care	30%	24 visit max per cal yr (after deductible)	AETNA 30 1000
AETNA		IN	Inpatient Hospital	30%	after deductible	AETNA 30 1000
AETNA		IN	Outpatient Facility	30%	after deductible	AETNA 30 1000
AETNA		IN	Outpatient Surgery	30%	after deductible	AETNA 30 1000
AETNA		IN	Lab/X-Ray	30%	after deductible	AETNA 30 1000
AETNA		IN	Advanced Radiology	30%	after deductible	AETNA 30 1000
AETNA		IN	Emergency Room	$100	"plus 10%, Copay waived if admitted (after deductible)"	AETNA 30 1000
AETNA		IN	Ambulance	30%	after deductible	AETNA 30 1000
AETNA		IN	Urgent Care	$30	ded. Waived	AETNA 30 1000
AETNA		IN	Rx Generic	$10		AETNA 30 1000
AETNA		IN	Rx Preferred	$25		AETNA 30 1000
AETNA		IN	Rx Non-Preferred	$45		AETNA 30 1000
AETNA		IN	Rx Specialty	20%	$150 max per Rx	AETNA 30 1000
AETNA		IN	Rx Mail Order	2x	copay except generic	AETNA 30 1000
AETNA		IN	Rx Individual Deductible			AETNA 30 1000
AETNA		IN	Rx Family Deductible			AETNA 30 1000
AETNA		IN	Skilled Nursing	30%	after deductible	AETNA 30 1000
AETNA		OUT	Individual Deductible	"$2,000"		AETNA 30 1000
AETNA		OUT	Family Deductible	"$4,000"		AETNA 30 1000
AETNA		OUT	Individual OOP Limit	"$6,000"		AETNA 30 1000
AETNA		OUT	Family OOP Limit	"$12,000"		AETNA 30 1000
AETNA		OUT	Co-insurance	50%		AETNA 30 1000
AETNA		OUT	PCP	50%	after deductible	AETNA 30 1000
AETNA		OUT	Specialist	50%	after deductible	AETNA 30 1000
AETNA		OUT	Preventive Care	50%	after deductible	AETNA 30 1000
AETNA		OUT	Physical Therapy	50%	after deductible	AETNA 30 1000
AETNA		OUT	Chiropractic Care	50%	after deductible	AETNA 30 1000
AETNA		OUT	Inpatient Hospital	$250	"plus 30%, after deductible"	AETNA 30 1000
AETNA		OUT	Outpatient Facility	50%	after deductible	AETNA 30 1000
AETNA		OUT	Outpatient Surgery	50%	$350 coverage max (after deductible)	AETNA 30 1000
AETNA		OUT	Lab/X-Ray	50%	after deductible	AETNA 30 1000
AETNA		OUT	Advanced Radiology	50%	$800 coverage max (after deductible)	AETNA 30 1000
AETNA		OUT	Emergency Room	$100	plus 30%	AETNA 30 1000
AETNA		OUT	Ambulance	30%	after deductible	AETNA 30 1000
AETNA		OUT	Urgent Care	50%	after deductible	AETNA 30 1000
AETNA		OUT	Rx Generic	$10	plus 50%	AETNA 30 1000
AETNA		OUT	Rx Preferred	$50	plus 50%	AETNA 30 1000
AETNA		OUT	Rx Non-Preferred	$45	plus 50%	AETNA 30 1000
AETNA		OUT	Rx Specialty	20%	plus 50%	AETNA 30 1000
AETNA		OUT	Rx Mail Order	Not Covered		AETNA 30 1000
AETNA		OUT	Rx Individual Deductible			AETNA 30 1000
AETNA		OUT	Rx Family Deductible			AETNA 30 1000
AETNA		OUT	Skilled Nursing	50%	after deductible	AETNA 30 1000
