Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Access + HMO	Local Access + HMO	Access + HMO Savenet
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Inpatient Hospital	100%		Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Outpatient Facility	100%		Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Outpatient Surgery	100%		Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Lab/X-Ray	100%		Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Advanced Radiology		TBD	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Emergency Room	$100 	waived if admitted	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Ambulance	$100 		Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Urgent Care	$10 		Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Rx Generic		Separate from Medical 	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Rx Preferred	 	Separate from Medical 	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Rx Non-Preferred	 	Separate from Medical 	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Rx Specialty	 	Separate from Medical 	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Rx Mail Order	 	Separate from Medical 	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Rx Individual Deductible	 	Separate from Medical 	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Rx Family Deductible	 	Separate from Medical 	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Skilled Nursing	100%	100 visits per calendar year	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Individual Deductible	$0 		Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Family Deductible	$0 		Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Individual OOP Limit	"$1,000 "		Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Family OOP Limit	"$2,000 "		Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Co-insurance	100%		Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	PCP	$20 	$35 for Access+ Specialist 	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Specialist	$20 		Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Preventive Care	100%		Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Physical Therapy	$20 		Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Chiropractic Care		Rider available	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Inpatient Hospital	100%		Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Outpatient Facility	100%		Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Outpatient Surgery	100%		Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Lab/X-Ray	100%		Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Advanced Radiology		TBD	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Emergency Room	$100 	waived if admitted	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Ambulance	$100 		Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Urgent Care	$20 		Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Rx Generic		Separate from Medical 	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Rx Preferred	 	Separate from Medical 	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Rx Non-Preferred	 	Separate from Medical 	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Rx Specialty	 	Separate from Medical 	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Rx Mail Order	 	Separate from Medical 	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Rx Individual Deductible	 	Separate from Medical 	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Rx Family Deductible	 	Separate from Medical 	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 20	IN	Skilled Nursing	100%	100 visits per calendar year	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20	Access + HMO ZERO ADMIT 20
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Individual Deductible	$0 		Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Family Deductible	$0 		Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Individual OOP Limit	"$1,000 "		Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Family OOP Limit	"$2,000 "		Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Co-insurance	100%		Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	PCP	$30 	$45 for Access+ Specialist 	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Specialist	$30 		Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Preventive Care	100%		Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Physical Therapy	$30 		Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Chiropractic Care		Rider available	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Inpatient Hospital	100%		Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Outpatient Facility	100%		Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Outpatient Surgery	100%		Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Lab/X-Ray	100%		Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Advanced Radiology		TBD	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Emergency Room	$100 	waived if admitted	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Ambulance	$100 		Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Urgent Care	$30 		Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Rx Generic		Separate from Medical 	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Rx Preferred	 	Separate from Medical 	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Rx Non-Preferred	 	Separate from Medical 	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Rx Specialty	 	Separate from Medical 	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Rx Mail Order	 	Separate from Medical 	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Rx Individual Deductible	 	Separate from Medical 	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Rx Family Deductible	 	Separate from Medical 	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO ZERO ADMIT 30	IN	Skilled Nursing	100%	100 visits per calendar year	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30	Access + HMO ZERO ADMIT 30
Blue Shield	Access + HMO Per Admit 10-250	IN	Individual Deductible	$0 		Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Family Deductible	$0 		Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Individual OOP Limit	"$1,000 "		Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Family OOP Limit	"$2,000 "		Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Co-insurance	100%		Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	PCP	$10 	$20 for Access+ Specialist 	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Specialist	$10 		Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Preventive Care	100%		Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Physical Therapy	$20 		Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Chiropractic Care		Rider available	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Inpatient Hospital	$250 	Per admit	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Outpatient Facility	$100 	per occurance	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Outpatient Surgery	$125 	per occurance	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Lab/X-Ray	100%		Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Advanced Radiology		TBD	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Emergency Room	$100 	waived if admitted	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Ambulance	$100 		Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Urgent Care	$10 		Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Rx Generic		Separate from Medical 	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Rx Preferred	 	Separate from Medical 	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Rx Non-Preferred	 	Separate from Medical 	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Rx Specialty	 	Separate from Medical 	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Rx Mail Order	 	Separate from Medical 	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Rx Individual Deductible	 	Separate from Medical 	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Rx Family Deductible	 	Separate from Medical 	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 10-250	IN	Skilled Nursing	$50 	per day 100 visits per calendar year	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250	Access + HMO Per Admit 10-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Individual Deductible	$0 		Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Family Deductible	$0 		Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Individual OOP Limit	"$1,500 "		Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Family OOP Limit	"$3,000 "		Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Co-insurance	100%		Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	PCP	$20 	$30 for Access+ Specialist 	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Specialist	$20 		Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Preventive Care	100%		Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Physical Therapy	$20 		Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Chiropractic Care		Rider available	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Inpatient Hospital	$250 	Per admit	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Outpatient Facility	$100 	per occurance	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Outpatient Surgery	$150 	per occurance	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Lab/X-Ray	100%		Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Advanced Radiology		TBD	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Emergency Room	$100 	waived if admitted	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Ambulance	$100 		Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Urgent Care	$20 		Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Rx Generic		Separate from Medical 	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Rx Preferred	 	Separate from Medical 	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Rx Non-Preferred	 	Separate from Medical 	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Rx Specialty	 	Separate from Medical 	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Rx Mail Order	 	Separate from Medical 	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Rx Individual Deductible	 	Separate from Medical 	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Rx Family Deductible	 	Separate from Medical 	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-250	IN	Skilled Nursing	$100 	per day 100 visits per calendar year	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250	Access + HMO Per Admit 20-250
Blue Shield	Access + HMO Per Admit 20-500	IN	Individual Deductible	$0 		Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Family Deductible	$0 		Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Individual OOP Limit	"$2,000 "		Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Family OOP Limit	"$4,000 "		Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Co-insurance	100%		Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	PCP	$20 	$30 for Access+ Specialist 	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Specialist	$20 		Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Preventive Care	100%		Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Physical Therapy	$20 		Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Chiropractic Care		Rider available	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Inpatient Hospital	$500 	Per admit	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Outpatient Facility	$125 	per occurance	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Outpatient Surgery	$250 	per occurance	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Lab/X-Ray	100%		Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Advanced Radiology		TBD	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Emergency Room	$100 	waived if admitted	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Ambulance	$100 		Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Urgent Care	$20 		Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
