Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	HMO	HMO Excelcare	EOA	EOA Excelcare	S.CA Smartcare	N.CA Smartcare	Salud HMO y Mas Mexico	Salud HMO y Mas San Diego
Healthnet	HMO 10/250a	IN	PCP	$10 		9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Specialist	$10 		9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Preventive Care	100%		9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Physical Therapy	$10 		9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Chiropractic Care		Rider available	9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Inpatient Hospital	$250 	per admit	9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Outpatient Facility	$250 	per occurance	9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Outpatient Surgery	$250 	per occurance	9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Lab/X-Ray	100%		9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Advanced Radiology	$100 		9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Emergency Room	$100 	waived if admitted	9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Ambulance	$100 		9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Urgent Care	$10 		9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Rx Generic		Separate from Medical 	9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Rx Preferred		Separate from Medical 	9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Rx Non-Preferred		Separate from Medical 	9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Rx Specialty	20%	up to $100 maximum copay	9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Rx Mail Order	2x		9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Rx Individual Deductible			9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Rx Family Deductible			9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Skilled Nursing	100%	No charge days (1-10) $25 per day days (11-100)	9IZ	9IL	9UU	9UB				
Healthnet	HMO 15/0	IN	Individual Deductible	$0 		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Family Deductible	$0 		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Individual OOP Limit	"$1,500 "		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Family OOP Limit	"$4,500 "		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Co-insurance	100%		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	PCP	$15 		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Specialist	$15 		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Preventive Care	100%		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Physical Therapy	$15 		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Chiropractic Care		Rider available	9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Inpatient Hospital	100%		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Outpatient Facility	100%		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Outpatient Surgery	100%		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Lab/X-Ray	100%		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Advanced Radiology	$100 		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Emergency Room	$100 	waived if admitted	9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Ambulance	$100 		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Urgent Care	$15 		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Rx Generic		Separate from Medical 	9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Rx Preferred		Separate from Medical 	9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Rx Non-Preferred		Separate from Medical 	9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Rx Specialty	20%	up to $100 maximum copay	9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Rx Mail Order	2x		9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Rx Individual Deductible			9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Rx Family Deductible			9JB	9IM	9UV	9UC				
Healthnet	HMO 15/0	IN	Skilled Nursing	100%	No charge days (1-10) $25 per day days (11-100)	9JB	9IM	9UV	9UC				
Healthnet	HMO 15/250a	IN	Individual Deductible	$0 		9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Family Deductible	$0 		9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Individual OOP Limit	"$1,500 "		9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Family OOP Limit	"$4,500 "		9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Co-insurance	100%		9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	PCP	$15 		9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Specialist	$15 		9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Preventive Care	100%		9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Physical Therapy	$15 		9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Chiropractic Care		Rider available	9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Inpatient Hospital	$250 	per admit	9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Outpatient Facility	$250 	per occurance	9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Outpatient Surgery	$250 	per occurance	9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Lab/X-Ray	100%		9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Advanced Radiology	$100 		9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Emergency Room	$100 	waived if admitted	9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Ambulance	$100 		9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Urgent Care	$15 		9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Rx Generic		Separate from Medical 	9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Rx Preferred		Separate from Medical 	9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Rx Non-Preferred		Separate from Medical 	9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Rx Specialty	20%	up to $100 maximum copay	9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Rx Mail Order	2x		9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Rx Individual Deductible			9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Rx Family Deductible			9IW	9HW	9UW	9UD				
Healthnet	HMO 15/250a	IN	Skilled Nursing	100%	No charge days (1-10) $25 per day days (11-100)	9IW	9HW	9UW	9UD				
Healthnet	HMO 15/500a	IN	Individual Deductible	$0 		9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Family Deductible	$0 		9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Individual OOP Limit	"$2,000 "		9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Family OOP Limit	"$6,000 "		9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Co-insurance	100%		9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	PCP	$15 		9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Specialist	$15 		9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Preventive Care	100%		9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Physical Therapy	$15 		9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Chiropractic Care		Rider available	9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Inpatient Hospital	$500 	per admit	9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Outpatient Facility	$500 	per occurance	9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Outpatient Surgery	$500 	per occurance	9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Lab/X-Ray	100%		9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Advanced Radiology	$100 		9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Emergency Room	$100 	waived if admitted	9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Ambulance	$100 		9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Urgent Care	$15 		9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Rx Generic		Separate from Medical 	9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Rx Preferred		Separate from Medical 	9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Rx Non-Preferred		Separate from Medical 	9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Rx Specialty	20%	up to $100 maximum copay	9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Rx Mail Order	2x		9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Rx Individual Deductible			9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Rx Family Deductible			9IX	9HV	9UX	9UE				
Healthnet	HMO 15/500a	IN	Skilled Nursing	100%	No charge days (1-10) $25 per day days (11-100)	9IX	9HV	9UX	9UE				
Healthnet	HMO 20/0	IN	Individual Deductible	$0 		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Family Deductible	$0 		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Individual OOP Limit	"$1,500 "		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Family OOP Limit	"$4,500 "		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Co-insurance	100%		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	PCP	$20 		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Specialist	$20 		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Preventive Care	100%		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Physical Therapy	$20 		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Chiropractic Care		Rider available	9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Inpatient Hospital	100%		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Outpatient Facility	100%		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Outpatient Surgery	100%		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Lab/X-Ray	100%		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Advanced Radiology	$100 		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Emergency Room	$100 	waived if admitted	9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Ambulance	$100 		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Urgent Care	$20 		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Rx Generic		Separate from Medical 	9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Rx Preferred		Separate from Medical 	9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Rx Non-Preferred		Separate from Medical 	9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Rx Specialty	20%	up to $100 maximum copay	9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Rx Mail Order	2x		9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Rx Individual Deductible			9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Rx Family Deductible			9JC	9HX	9UY	9UF				
Healthnet	HMO 20/0	IN	Skilled Nursing	100%	No charge days (1-10) $25 per day days (11-100)	9JC	9HX	9UY	9UF				
Healthnet	HMO 20/250a	IN	Individual Deductible	$0 		9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Family Deductible	$0 		9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Individual OOP Limit	"$1,500 "		9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Family OOP Limit	"$4,500 "		9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Co-insurance	100%		9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	PCP	$20 		9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Specialist	$20 		9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Preventive Care	100%		9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Physical Therapy	$20 		9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Chiropractic Care		Rider available	9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Inpatient Hospital	$250 	per admit	9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Outpatient Facility	$250 	per occurance	9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Outpatient Surgery	$250 	per occurance	9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Lab/X-Ray	100%		9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Advanced Radiology	$100 		9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Emergency Room	$100 	waived if admitted	9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Ambulance	$100 		9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Urgent Care	$20 		9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Rx Generic		Separate from Medical 	9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Rx Preferred		Separate from Medical 	9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Rx Non-Preferred		Separate from Medical 	9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Rx Specialty	20%	up to $100 maximum copay	9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Rx Mail Order	2x		9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Rx Individual Deductible			9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Rx Family Deductible			9JD	9HY	9US	9TY				
Healthnet	HMO 20/250a	IN	Skilled Nursing	100%	No charge days (1-10) $25 per day days (11-100)	9JD	9HY	9US	9TY				
Healthnet	HMO 20/500a	IN	Individual Deductible	$0 		9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Family Deductible	$0 		9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Individual OOP Limit	"$2,000 "		9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Family OOP Limit	"$6,000 "		9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Co-insurance	100%		9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	PCP	$20 		9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Specialist	$20 		9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Preventive Care	100%		9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Physical Therapy	$20 		9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Chiropractic Care		Rider available	9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Inpatient Hospital	$500 	per admit	9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Outpatient Facility	$500 	per occurance	9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Outpatient Surgery	$500 	per occurance	9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Lab/X-Ray	100%		9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Advanced Radiology	$100 		9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Emergency Room	$100 	waived if admitted	9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Ambulance	$100 		9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Urgent Care	$20 		9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Rx Generic		Separate from Medical 	9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Rx Preferred		Separate from Medical 	9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Rx Non-Preferred		Separate from Medical 	9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Rx Specialty	20%	up to $100 maximum copay	9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Rx Mail Order	2x		9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Rx Individual Deductible			9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Rx Family Deductible			9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500a	IN	Skilled Nursing	100%	No charge days (1-10) $25 per day days (11-100)	9JE	9HZ	9UZ	9UG				
Healthnet	HMO 20/500d	IN	Individual Deductible	$0 		9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Family Deductible	$0 		9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Individual OOP Limit	"$2,000 "		9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Family OOP Limit	"$6,000 "		9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Co-insurance	100%		9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	PCP	$20 		9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Specialist	$20 		9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Preventive Care	100%		9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Physical Therapy	$20 		9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Chiropractic Care		Rider available	9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Inpatient Hospital	$500 	per day max 3 days	9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Outpatient Facility	$500 	per occurance	9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Outpatient Surgery	$500 	per occurance	9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Lab/X-Ray	100%		9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Advanced Radiology	$100 		9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Emergency Room	$100 	waived if admitted	9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Ambulance	$100 		9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Urgent Care	$20 		9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Rx Generic		Separate from Medical 	9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Rx Preferred		Separate from Medical 	9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Rx Non-Preferred		Separate from Medical 	9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Rx Specialty	20%	up to $100 maximum copay	9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Rx Mail Order	2x		9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Rx Individual Deductible			9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Rx Family Deductible			9JH	9ID	9VD	9UK				
Healthnet	HMO 20/500d	IN	Skilled Nursing	100%	No charge days (1-10) $25 per day days (11-100)	9JH	9ID	9VD	9UK				
Healthnet	HMO 20/20%	IN	Individual Deductible	$0 		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Family Deductible	$0 		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Individual OOP Limit	"$1,500 "		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Family OOP Limit	"$4,500 "		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Co-insurance	80%		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	PCP	$20 		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Specialist	$20 		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Preventive Care	100%		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Physical Therapy	$20 		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Chiropractic Care		Rider available	9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Inpatient Hospital	20%		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Outpatient Facility	20%		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Outpatient Surgery	20%		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Lab/X-Ray	100%		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Advanced Radiology	$100 		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Emergency Room	$100 	waived if admitted	9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Ambulance	$100 		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Urgent Care	$20 		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Rx Generic		Separate from Medical 	9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Rx Preferred		Separate from Medical 	9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Rx Non-Preferred		Separate from Medical 	9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Rx Specialty	20%	up to $100 maximum copay	9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Rx Mail Order	2x		9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Rx Individual Deductible			9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Rx Family Deductible			9JJ	9IE	9VE	9UL				
Healthnet	HMO 20/20%	IN	Skilled Nursing	100%	No charge days (1-10) $25 per day days (11-100)	9JJ	9IE	9VE	9UL				
Healthnet	HMO 30/1000a	IN	Individual Deductible	$0 		9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Family Deductible	$0 		9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Individual OOP Limit	"$2,000 "		9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Family OOP Limit	"$6,000 "		9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Co-insurance	100%		9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	PCP	$30 		9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Specialist	$30 		9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Preventive Care	100%		9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Physical Therapy	$30 		9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Chiropractic Care		Rider available	9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Inpatient Hospital	"$1,000 "	per admit	9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Outpatient Facility	"$1,000 "	per occurance	9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Outpatient Surgery	"$1,000 "	per occurance	9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Lab/X-Ray	100%		9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Advanced Radiology	$100 		9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Emergency Room	$100 	waived if admitted	9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Ambulance	$100 		9JF	9IB	9VB	9UH				
Healthnet	HMO 30/1000a	IN	Urgent Care	$30 		9JF	9IB	9VB	9UH				
