Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Full Network	Unlimited Rollover	1x Rollover	2x Rollover
Anthem Blue Cross		OUT	Rx Non-Preferred	$45 	plus 50%	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Rx Specialty	20%	plus 50%	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Rx Mail Order	Not Covered		Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Rx Individual Deductible	n/a		Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Rx Family Deductible	n/a		Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Skilled Nursing	30%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross	Premier PPO 250/10/10	IN	Individual Deductible	$250 		Premier PPO 250/10/10			
Anthem Blue Cross		IN	Family Deductible	$500 		Premier PPO 250/10/10			
Anthem Blue Cross		IN	Individual OOP Limit	"$2,500 "		Premier PPO 250/10/10			
Anthem Blue Cross		IN	Family OOP Limit	"$5,000 "		Premier PPO 250/10/10			
Anthem Blue Cross		IN	Co-insurance	90%		Premier PPO 250/10/10			
Anthem Blue Cross		IN	PCP	$10 		Premier PPO 250/10/10			
Anthem Blue Cross		IN	Specialist	$10 		Premier PPO 250/10/10			
Anthem Blue Cross		IN	Preventive Care	 	No Charge	Premier PPO 250/10/10			
Anthem Blue Cross		IN	Physical Therapy	10%	24 visit max per cal yr (after deductible)	Premier PPO 250/10/10			
Anthem Blue Cross		IN	Chiropractic Care	10%	24 visit max per cal yr (after deductible)	Premier PPO 250/10/10			
Anthem Blue Cross		IN	Inpatient Hospital	10%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		IN	Outpatient Facility	10%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		IN	Outpatient Surgery	10%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		IN	Lab/X-Ray	10%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		IN	Advanced Radiology	10%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		IN	Emergency Room	$100 	"plus 10%, Copay waived if admitted (after deductible)"	Premier PPO 250/10/10			
Anthem Blue Cross		IN	Ambulance	10%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		IN	Urgent Care	$10 	ded. Waived	Premier PPO 250/10/10			
Anthem Blue Cross		IN	Rx Generic	$10 		Premier PPO 250/10/10			
Anthem Blue Cross		IN	Rx Preferred	$25 		Premier PPO 250/10/10			
Anthem Blue Cross		IN	Rx Non-Preferred	$45 		Premier PPO 250/10/10			
Anthem Blue Cross		IN	Rx Specialty	20%	$150 max per Rx	Premier PPO 250/10/10			
Anthem Blue Cross		IN	Rx Mail Order	2x	copay except generic	Premier PPO 250/10/10			
Anthem Blue Cross		IN	Rx Individual Deductible			Premier PPO 250/10/10			
Anthem Blue Cross		IN	Rx Family Deductible			Premier PPO 250/10/10			
Anthem Blue Cross		IN	Skilled Nursing	10%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Individual Deductible	$250 		Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Family Deductible	$500 		Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Individual OOP Limit	"$4,500 "		Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Family OOP Limit	"$9,000 "		Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Co-insurance	70%		Premier PPO 250/10/10			
Anthem Blue Cross		OUT	PCP	30%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Specialist	30%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Preventive Care	30%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Physical Therapy	30%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Chiropractic Care	30%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Inpatient Hospital	$250 	"plus 30%, after deductible"	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Outpatient Facility	30%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Outpatient Surgery	30%	$350 coverage max (after deductible)	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Lab/X-Ray	30%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Advanced Radiology	30%	$800 coverage max (after deductible)	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Emergency Room	$100 	plus 30%	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Ambulance	10%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Urgent Care	30%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Rx Generic	$10 	plus 50%	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Rx Preferred	$50 	plus 50%	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Rx Non-Preferred	$45 	plus 50%	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Rx Specialty	20%	plus 50%	Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Rx Mail Order	Not Covered		Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Rx Individual Deductible			Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Rx Family Deductible			Premier PPO 250/10/10			
Anthem Blue Cross		OUT	Skilled Nursing	30%	after deductible	Premier PPO 250/10/10			
Anthem Blue Cross	Premier PPO 250/10/10	IN	Individual Deductible	$250 		Premier PPO 250/20/20			
Anthem Blue Cross		IN	Family Deductible	$500 		Premier PPO 250/20/20			
Anthem Blue Cross		IN	Individual OOP Limit	"$3,500 "		Premier PPO 250/20/20			
Anthem Blue Cross		IN	Family OOP Limit	"$7,500 "		Premier PPO 250/20/20			
Anthem Blue Cross		IN	Co-insurance	80%		Premier PPO 250/20/20			
Anthem Blue Cross		IN	PCP	$20 		Premier PPO 250/20/20			
Anthem Blue Cross		IN	Specialist	$20 		Premier PPO 250/20/20			
Anthem Blue Cross		IN	Preventive Care	 	No Charge	Premier PPO 250/20/20			
Anthem Blue Cross		IN	Physical Therapy	20%	24 visit max per cal yr (after deductible)	Premier PPO 250/20/20			
Anthem Blue Cross		IN	Chiropractic Care	20%	24 visit max per cal yr (after deductible)	Premier PPO 250/20/20			
Anthem Blue Cross		IN	Inpatient Hospital	20%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		IN	Outpatient Facility	20%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		IN	Outpatient Surgery	20%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		IN	Lab/X-Ray	20%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		IN	Advanced Radiology	20%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		IN	Emergency Room	$100 	"plus 10%, Copay waived if admitted (after deductible)"	Premier PPO 250/20/20			
Anthem Blue Cross		IN	Ambulance	20%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		IN	Urgent Care	$20 	ded. Waived	Premier PPO 250/20/20			
Anthem Blue Cross		IN	Rx Generic	$10 		Premier PPO 250/20/20			
Anthem Blue Cross		IN	Rx Preferred	$25 		Premier PPO 250/20/20			
Anthem Blue Cross		IN	Rx Non-Preferred	$45 		Premier PPO 250/20/20			
Anthem Blue Cross		IN	Rx Specialty	20%	$150 max per Rx	Premier PPO 250/20/20			
Anthem Blue Cross		IN	Rx Mail Order	2x	copay except generic	Premier PPO 250/20/20			
Anthem Blue Cross		IN	Rx Individual Deductible			Premier PPO 250/20/20			
Anthem Blue Cross		IN	Rx Family Deductible			Premier PPO 250/20/20			
Anthem Blue Cross		IN	Skilled Nursing	20%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Individual Deductible	$500 		Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Family Deductible	"$1,000 "		Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Individual OOP Limit	"$5,000 "		Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Family OOP Limit	"$10,000 "		Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Co-insurance	60%		Premier PPO 250/20/20			
Anthem Blue Cross		OUT	PCP	40%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Specialist	40%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Preventive Care	40%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Physical Therapy	40%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Chiropractic Care	40%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Inpatient Hospital	$250 	"plus 30%, after deductible"	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Outpatient Facility	40%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Outpatient Surgery	40%	$350 coverage max (after deductible)	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Lab/X-Ray	40%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Advanced Radiology	40%	$800 coverage max (after deductible)	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Emergency Room	$100 	plus 30%	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Ambulance	20%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Urgent Care	40%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Rx Generic	$10 	plus 50%	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Rx Preferred	$50 	plus 50%	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Rx Non-Preferred	$45 	plus 50%	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Rx Specialty	20%	plus 50%	Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Rx Mail Order	Not Covered		Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Rx Individual Deductible			Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Rx Family Deductible			Premier PPO 250/20/20			
Anthem Blue Cross		OUT	Skilled Nursing	40%	after deductible	Premier PPO 250/20/20			
Anthem Blue Cross	Premier PPO 250/10/10	IN	Individual Deductible	$500 		Premier PPO 500/20/20			
Anthem Blue Cross		IN	Family Deductible	"$1,000 "		Premier PPO 500/20/20			
Anthem Blue Cross		IN	Individual OOP Limit	"$4,000 "		Premier PPO 500/20/20			
Anthem Blue Cross		IN	Family OOP Limit	"$8,000 "		Premier PPO 500/20/20			
Anthem Blue Cross		IN	Co-insurance	80%		Premier PPO 500/20/20			
Anthem Blue Cross		IN	PCP	$20 		Premier PPO 500/20/20			
Anthem Blue Cross		IN	Specialist	$20 		Premier PPO 500/20/20			
Anthem Blue Cross		IN	Preventive Care	 	No Charge	Premier PPO 500/20/20			
Anthem Blue Cross		IN	Physical Therapy	20%	24 visit max per cal yr (after deductible)	Premier PPO 500/20/20			
Anthem Blue Cross		IN	Chiropractic Care	20%	24 visit max per cal yr (after deductible)	Premier PPO 500/20/20			
Anthem Blue Cross		IN	Inpatient Hospital	20%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		IN	Outpatient Facility	20%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		IN	Outpatient Surgery	20%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		IN	Lab/X-Ray	20%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		IN	Advanced Radiology	20%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		IN	Emergency Room	$100 	"plus 10%, Copay waived if admitted (after deductible)"	Premier PPO 500/20/20			
Anthem Blue Cross		IN	Ambulance	20%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		IN	Urgent Care	$20 	ded. Waived	Premier PPO 500/20/20			
Anthem Blue Cross		IN	Rx Generic	$10 		Premier PPO 500/20/20			
Anthem Blue Cross		IN	Rx Preferred	$25 		Premier PPO 500/20/20			
Anthem Blue Cross		IN	Rx Non-Preferred	$45 		Premier PPO 500/20/20			
Anthem Blue Cross		IN	Rx Specialty	20%	$150 max per Rx	Premier PPO 500/20/20			
Anthem Blue Cross		IN	Rx Mail Order	2x	copay except generic	Premier PPO 500/20/20			
Anthem Blue Cross		IN	Rx Individual Deductible			Premier PPO 500/20/20			
Anthem Blue Cross		IN	Rx Family Deductible			Premier PPO 500/20/20			
Anthem Blue Cross		IN	Skilled Nursing	20%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Individual Deductible	"$1,000 "		Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Family Deductible	"$2,000 "		Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Individual OOP Limit	"$6,000 "		Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Family OOP Limit	"$12,000 "		Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Co-insurance	60%		Premier PPO 500/20/20			
Anthem Blue Cross		OUT	PCP	40%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Specialist	40%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Preventive Care	40%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Physical Therapy	40%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Chiropractic Care	40%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Inpatient Hospital	$250 	"plus 30%, after deductible"	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Outpatient Facility	40%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Outpatient Surgery	40%	$350 coverage max (after deductible)	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Lab/X-Ray	40%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Advanced Radiology	40%	$800 coverage max (after deductible)	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Emergency Room	$100 	plus 30%	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Ambulance	20%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Urgent Care	40%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Rx Generic	$10 	plus 50%	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Rx Preferred	$50 	plus 50%	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Rx Non-Preferred	$45 	plus 50%	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Rx Specialty	20%	plus 50%	Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Rx Mail Order	Not Covered		Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Rx Individual Deductible			Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Rx Family Deductible			Premier PPO 500/20/20			
Anthem Blue Cross		OUT	Skilled Nursing	40%	after deductible	Premier PPO 500/20/20			
Anthem Blue Cross	Premier PPO 250/10/10	IN	Individual Deductible	"$1,000 "		Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Family Deductible	"$2,000 "		Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Individual OOP Limit	"$4,000 "		Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Family OOP Limit	"$8,000 "		Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Co-insurance	80%		Premier PPO 1000/20/20			
Anthem Blue Cross		IN	PCP	$20 		Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Specialist	$20 		Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Preventive Care	 	No Charge	Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Physical Therapy	20%	24 visit max per cal yr (after deductible)	Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Chiropractic Care	20%	24 visit max per cal yr (after deductible)	Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Inpatient Hospital	20%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Outpatient Facility	20%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Outpatient Surgery	20%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Lab/X-Ray	20%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Advanced Radiology	20%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Emergency Room	$100 	"plus 10%, Copay waived if admitted (after deductible)"	Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Ambulance	20%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Urgent Care	$20 	ded. Waived	Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Rx Generic	$10 		Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Rx Preferred	$25 		Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Rx Non-Preferred	$45 		Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Rx Specialty	20%	$150 max per Rx	Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Rx Mail Order	2x	copay except generic	Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Rx Individual Deductible			Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Rx Family Deductible			Premier PPO 1000/20/20			
Anthem Blue Cross		IN	Skilled Nursing	20%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Individual Deductible	"$2,000 "		Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Family Deductible	"$4,000 "		Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Individual OOP Limit	"$6,000 "		Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Family OOP Limit	"$12,000 "		Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Co-insurance	60%		Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	PCP	40%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Specialist	40%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Preventive Care	40%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Physical Therapy	40%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Chiropractic Care	40%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Inpatient Hospital	$250 	"plus 30%, after deductible"	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Outpatient Facility	40%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Outpatient Surgery	40%	$350 coverage max (after deductible)	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Lab/X-Ray	40%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Advanced Radiology	40%	$800 coverage max (after deductible)	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Emergency Room	$100 	plus 30%	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Ambulance	20%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Urgent Care	40%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Rx Generic	$10 	plus 50%	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Rx Preferred	$50 	plus 50%	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Rx Non-Preferred	$45 	plus 50%	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Rx Specialty	20%	plus 50%	Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Rx Mail Order	Not Covered		Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Rx Individual Deductible			Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Rx Family Deductible			Premier PPO 1000/20/20			
Anthem Blue Cross		OUT	Skilled Nursing	40%	after deductible	Premier PPO 1000/20/20			
Anthem Blue Cross	Premier PPO 250/10/10	IN	Individual Deductible	"$1,000 "		Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Family Deductible	"$2,000 "		Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Individual OOP Limit	"$4,000 "		Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Family OOP Limit	"$8,000 "		Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Co-insurance	80%		Premier PPO 1000/30/20			
Anthem Blue Cross		IN	PCP	$30 		Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Specialist	$30 		Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Preventive Care	 	No Charge	Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Physical Therapy	20%	24 visit max per cal yr (after deductible)	Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Chiropractic Care	20%	24 visit max per cal yr (after deductible)	Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Inpatient Hospital	20%	after deductible	Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Outpatient Facility	20%	after deductible	Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Outpatient Surgery	20%	after deductible	Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Lab/X-Ray	20%	after deductible	Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Advanced Radiology	20%	after deductible	Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Emergency Room	$100 	"plus 10%, Copay waived if admitted (after deductible)"	Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Ambulance	20%	after deductible	Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Urgent Care	$30 	ded. Waived	Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Rx Generic	$10 		Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Rx Preferred	$25 		Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Rx Non-Preferred	$45 		Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Rx Specialty	20%	$150 max per Rx	Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Rx Mail Order	2x	copay except generic	Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Rx Individual Deductible			Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Rx Family Deductible			Premier PPO 1000/30/20			
Anthem Blue Cross		IN	Skilled Nursing	20%	after deductible	Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Individual Deductible	"$2,000 "		Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Family Deductible	"$4,000 "		Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Individual OOP Limit	"$6,000 "		Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Family OOP Limit	"$12,000 "		Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Co-insurance	60%		Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	PCP	40%	after deductible	Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Specialist	40%	after deductible	Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Preventive Care	40%	after deductible	Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Physical Therapy	40%	after deductible	Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Chiropractic Care	40%	after deductible	Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Inpatient Hospital	$250 	"plus 30%, after deductible"	Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Outpatient Facility	40%	after deductible	Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Outpatient Surgery	40%	$350 coverage max (after deductible)	Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Lab/X-Ray	40%	after deductible	Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Advanced Radiology	40%	$800 coverage max (after deductible)	Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Emergency Room	$100 	plus 30%	Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Ambulance	20%	after deductible	Premier PPO 1000/30/20			
Anthem Blue Cross		OUT	Urgent Care	40%	after deductible	Premier PPO 1000/30/20			
