Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Full Network 
Cigna		OUT	Family OOP Limit	"$21,000"		OAP E
Cigna		OUT	Co-insurance	60%		OAP E
Cigna		OUT	PCP	40%	after deductible	OAP E
Cigna		OUT	Specialist	40%	after deductible	OAP E
Cigna		OUT	Preventive Care	40%	after deductible	OAP E
Cigna		OUT	Physical Therapy	40%	20 visit max combined therapies (after deductible) 	OAP E
Cigna		OUT	Chiropractic Care	40%	20 visit max combined therapies (after deductible) 	OAP E
Cigna		OUT	Inpatient Hospital	$500	"plus 40%, after deductible"	OAP E
Cigna		OUT	Outpatient Facility	$250	"plus 40%, after deductible"	OAP E
Cigna		OUT	Outpatient Surgery	$250	"plus 40%, after deductible"	OAP E
Cigna		OUT	Lab/X-Ray	40%	after deductible	OAP E
Cigna		OUT	Advanced Radiology	40%	after deductible	OAP E
Cigna		OUT	Emergency Room	$150	plus 20%	OAP E
Cigna		OUT	Ambulance	20%	after deductible	OAP E
Cigna		OUT	Urgent Care	$25		OAP E
Cigna		OUT	Rx Generic	Not Covered		OAP E
Cigna		OUT	Rx Preferred	Not Covered		OAP E
Cigna		OUT	Rx Non-Preferred	Not Covered		OAP E
Cigna		OUT	Rx Specialty	Not Covered		OAP E
Cigna		OUT	Rx Mail Order	Not Covered		OAP E
Cigna		OUT	Rx Individual Deductible	n/a		OAP E
Cigna		OUT	Rx Family Deductible	n/a		OAP E
Cigna		OUT	Skilled Nursing	40%	60 day max (after deductible) 	OAP E
Cigna	OAP F	IN	Individual Deductible	"$1,000"		OAP F
Cigna		IN	Family Deductible	"$2,000"		OAP F
Cigna		IN	Individual OOP Limit	"$4,000"		OAP F
Cigna		IN	Family OOP Limit	"$8,000"		OAP F
Cigna		IN	Co-insurance	80%		OAP F
Cigna		IN	PCP	$20		OAP F
Cigna		IN	Specialist	$20		OAP F
Cigna		IN	Preventive Care	 	No Charge	OAP F
Cigna		IN	Physical Therapy	20%	24 visit max per cal yr (after deductible)	OAP F
Cigna		IN	Chiropractic Care	20%	24 visit max per cal yr (after deductible)	OAP F
Cigna		IN	Inpatient Hospital	20%	after deductible	OAP F
Cigna		IN	Outpatient Facility	20%	after deductible	OAP F
Cigna		IN	Outpatient Surgery	20%	after deductible	OAP F
Cigna		IN	Lab/X-Ray	20%	after deductible	OAP F
Cigna		IN	Advanced Radiology	20%	after deductible	OAP F
Cigna		IN	Emergency Room	$100	"plus 10%, Copay waived if admitted (after deductible)"	OAP F
Cigna		IN	Ambulance	20%	after deductible	OAP F
Cigna		IN	Urgent Care	$20	ded. Waived	OAP F
Cigna		IN	Rx Generic	$10		OAP F
Cigna		IN	Rx Preferred	$25		OAP F
Cigna		IN	Rx Non-Preferred	$45		OAP F
Cigna		IN	Rx Specialty	20%	$150 max per Rx	OAP F
Cigna		IN	Rx Mail Order	2x	copay except generic	OAP F
Cigna		IN	Rx Individual Deductible			OAP F
Cigna		IN	Rx Family Deductible			OAP F
Cigna		IN	Skilled Nursing	20%	after deductible	OAP F
Cigna		OUT	Individual Deductible	"$2,000"		OAP F
Cigna		OUT	Family Deductible	"$4,000"		OAP F
Cigna		OUT	Individual OOP Limit	"$6,000"		OAP F
Cigna		OUT	Family OOP Limit	"$12,000"		OAP F
Cigna		OUT	Co-insurance	60%		OAP F
Cigna		OUT	PCP	40%	after deductible	OAP F
Cigna		OUT	Specialist	40%	after deductible	OAP F
Cigna		OUT	Preventive Care	40%	after deductible	OAP F
Cigna		OUT	Physical Therapy	40%	after deductible	OAP F
Cigna		OUT	Chiropractic Care	40%	after deductible	OAP F
Cigna		OUT	Inpatient Hospital	$250	"plus 30%, after deductible"	OAP F
Cigna		OUT	Outpatient Facility	40%	after deductible	OAP F
Cigna		OUT	Outpatient Surgery	40%	$350 coverage max (after deductible)	OAP F
Cigna		OUT	Lab/X-Ray	40%	after deductible	OAP F
Cigna		OUT	Advanced Radiology	40%	$800 coverage max (after deductible)	OAP F
Cigna		OUT	Emergency Room	$100	plus 30%	OAP F
Cigna		OUT	Ambulance	20%	after deductible	OAP F
Cigna		OUT	Urgent Care	40%	after deductible	OAP F
Cigna		OUT	Rx Generic	$10	plus 50%	OAP F
Cigna		OUT	Rx Preferred	$50	plus 50%	OAP F
Cigna		OUT	Rx Non-Preferred	$45	plus 50%	OAP F
Cigna		OUT	Rx Specialty	20%	plus 50%	OAP F
Cigna		OUT	Rx Mail Order	Not Covered		OAP F
Cigna		OUT	Rx Individual Deductible			OAP F
Cigna		OUT	Rx Family Deductible			OAP F
Cigna		OUT	Skilled Nursing	40%	after deductible	OAP F
Cigna	OAP G	IN	Individual Deductible	"$1,000"		OAP G
Cigna		IN	Family Deductible	"$2,000"		OAP G
Cigna		IN	Individual OOP Limit	"$4,000"		OAP G
Cigna		IN	Family OOP Limit	"$8,000"		OAP G
Cigna		IN	Co-insurance	80%		OAP G
Cigna		IN	PCP	$30		OAP G
Cigna		IN	Specialist	$30		OAP G
Cigna		IN	Preventive Care	 	No Charge	OAP G
Cigna		IN	Physical Therapy	20%	24 visit max per cal yr (after deductible)	OAP G
Cigna		IN	Chiropractic Care	20%	24 visit max per cal yr (after deductible)	OAP G
Cigna		IN	Inpatient Hospital	20%	after deductible	OAP G
Cigna		IN	Outpatient Facility	20%	after deductible	OAP G
Cigna		IN	Outpatient Surgery	20%	after deductible	OAP G
Cigna		IN	Lab/X-Ray	20%	after deductible	OAP G
Cigna		IN	Advanced Radiology	20%	after deductible	OAP G
Cigna		IN	Emergency Room	$100	"plus 10%, Copay waived if admitted (after deductible)"	OAP G
Cigna		IN	Ambulance	20%	after deductible	OAP G
Cigna		IN	Urgent Care	$30	ded. Waived	OAP G
Cigna		IN	Rx Generic	$10		OAP G
Cigna		IN	Rx Preferred	$25		OAP G
Cigna		IN	Rx Non-Preferred	$45		OAP G
Cigna		IN	Rx Specialty	20%	$150 max per Rx	OAP G
Cigna		IN	Rx Mail Order	2x	copay except generic	OAP G
Cigna		IN	Rx Individual Deductible			OAP G
Cigna		IN	Rx Family Deductible			OAP G
Cigna		IN	Skilled Nursing	20%	after deductible	OAP G
Cigna		OUT	Individual Deductible	"$2,000"		OAP G
Cigna		OUT	Family Deductible	"$4,000"		OAP G
Cigna		OUT	Individual OOP Limit	"$6,000"		OAP G
Cigna		OUT	Family OOP Limit	"$12,000"		OAP G
Cigna		OUT	Co-insurance	60%		OAP G
Cigna		OUT	PCP	40%	after deductible	OAP G
Cigna		OUT	Specialist	40%	after deductible	OAP G
Cigna		OUT	Preventive Care	40%	after deductible	OAP G
Cigna		OUT	Physical Therapy	40%	after deductible	OAP G
Cigna		OUT	Chiropractic Care	40%	after deductible	OAP G
Cigna		OUT	Inpatient Hospital	$250	"plus 30%, after deductible"	OAP G
Cigna		OUT	Outpatient Facility	40%	after deductible	OAP G
Cigna		OUT	Outpatient Surgery	40%	$350 coverage max (after deductible)	OAP G
Cigna		OUT	Lab/X-Ray	40%	after deductible	OAP G
Cigna		OUT	Advanced Radiology	40%	$800 coverage max (after deductible)	OAP G
Cigna		OUT	Emergency Room	$100	plus 30%	OAP G
Cigna		OUT	Ambulance	20%	after deductible	OAP G
Cigna		OUT	Urgent Care	40%	after deductible	OAP G
Cigna		OUT	Rx Generic	$10	plus 50%	OAP G
Cigna		OUT	Rx Preferred	$50	plus 50%	OAP G
Cigna		OUT	Rx Non-Preferred	$45	plus 50%	OAP G
Cigna		OUT	Rx Specialty	20%	plus 50%	OAP G
Cigna		OUT	Rx Mail Order	Not Covered		OAP G
Cigna		OUT	Rx Individual Deductible			OAP G
Cigna		OUT	Rx Family Deductible			OAP G
Cigna		OUT	Skilled Nursing	40%	after deductible	OAP G
Cigna	OAP H	IN	Individual Deductible	"$1,000"		OAP H
Cigna		IN	Family Deductible	"$2,000"		OAP H
Cigna		IN	Individual OOP Limit	"$4,000"		OAP H
Cigna		IN	Family OOP Limit	"$8,000"		OAP H
Cigna		IN	Co-insurance	70%		OAP H
Cigna		IN	PCP	$30		OAP H
Cigna		IN	Specialist	$30		OAP H
Cigna		IN	Preventive Care	 	No Charge	OAP H
Cigna		IN	Physical Therapy	30%	24 visit max per cal yr (after deductible)	OAP H
Cigna		IN	Chiropractic Care	30%	24 visit max per cal yr (after deductible)	OAP H
Cigna		IN	Inpatient Hospital	30%	after deductible	OAP H
Cigna		IN	Outpatient Facility	30%	after deductible	OAP H
Cigna		IN	Outpatient Surgery	30%	after deductible	OAP H
Cigna		IN	Lab/X-Ray	30%	after deductible	OAP H
Cigna		IN	Advanced Radiology	30%	after deductible	OAP H
Cigna		IN	Emergency Room	$100	"plus 10%, Copay waived if admitted (after deductible)"	OAP H
Cigna		IN	Ambulance	30%	after deductible	OAP H
Cigna		IN	Urgent Care	$30	ded. Waived	OAP H
Cigna		IN	Rx Generic	$10		OAP H
Cigna		IN	Rx Preferred	$25		OAP H
Cigna		IN	Rx Non-Preferred	$45		OAP H
Cigna		IN	Rx Specialty	20%	$150 max per Rx	OAP H
Cigna		IN	Rx Mail Order	2x	copay except generic	OAP H
Cigna		IN	Rx Individual Deductible			OAP H
Cigna		IN	Rx Family Deductible			OAP H
Cigna		IN	Skilled Nursing	30%	after deductible	OAP H
Cigna		OUT	Individual Deductible	"$2,000"		OAP H
Cigna		OUT	Family Deductible	"$4,000"		OAP H
Cigna		OUT	Individual OOP Limit	"$6,000"		OAP H
Cigna		OUT	Family OOP Limit	"$12,000"		OAP H
Cigna		OUT	Co-insurance	50%		OAP H
Cigna		OUT	PCP	50%	after deductible	OAP H
Cigna		OUT	Specialist	50%	after deductible	OAP H
Cigna		OUT	Preventive Care	50%	after deductible	OAP H
Cigna		OUT	Physical Therapy	50%	after deductible	OAP H
Cigna		OUT	Chiropractic Care	50%	after deductible	OAP H
Cigna		OUT	Inpatient Hospital	$250	"plus 30%, after deductible"	OAP H
Cigna		OUT	Outpatient Facility	50%	after deductible	OAP H
Cigna		OUT	Outpatient Surgery	50%	$350 coverage max (after deductible)	OAP H
Cigna		OUT	Lab/X-Ray	50%	after deductible	OAP H
Cigna		OUT	Advanced Radiology	50%	$800 coverage max (after deductible)	OAP H
Cigna		OUT	Emergency Room	$100	plus 30%	OAP H
Cigna		OUT	Ambulance	30%	after deductible	OAP H
Cigna		OUT	Urgent Care	50%	after deductible	OAP H
Cigna		OUT	Rx Generic	$10	plus 50%	OAP H
Cigna		OUT	Rx Preferred	$50	plus 50%	OAP H
Cigna		OUT	Rx Non-Preferred	$45	plus 50%	OAP H
Cigna		OUT	Rx Specialty	20%	plus 50%	OAP H
Cigna		OUT	Rx Mail Order	Not Covered		OAP H
Cigna		OUT	Rx Individual Deductible			OAP H
Cigna		OUT	Rx Family Deductible			OAP H
Cigna		OUT	Skilled Nursing	50%	after deductible	OAP H
