Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Traditional	Select	Select +
Anthem Blue Cross	Premier HMO 10/100%	IN	Advanced Radiology	$100 		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Emergency Room	$100 	waived if admitted	Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Ambulance	$100 		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Urgent Care	$10 		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Rx Generic	$10 		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Rx Preferred	$25 		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Rx Non-Preferred	$45 		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Rx Specialty	20%	up to $150 maximum copay	Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Rx Mail Order	2x		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Rx Individual Deductible			Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Rx Family Deductible			Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Skilled Nursing	100%	100 visits per calendar year	Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Individual Deductible	$0 		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Family Deductible	$0 		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Individual OOP Limit	"$1,500 "		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Family OOP Limit	"$3,000 "		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Co-insurance	100%		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	PCP	$15 		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Specialist	$15 		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Preventive Care	100%		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Physical Therapy	$15 	Limited to 60-day period of care	Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Chiropractic Care		Rider available	Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Inpatient Hospital	100%		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Outpatient Facility	100%		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Outpatient Surgery	100%		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Lab/X-Ray	100%		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Advanced Radiology	$100 		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Emergency Room	$100 	waived if admitted	Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Ambulance	$100 	per trip 	Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Urgent Care	$15 		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Rx Generic	$10 		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Rx Preferred	$25 		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Rx Non-Preferred	$45 		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Rx Specialty	20%	up to $150 maximum copay	Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Rx Mail Order	2x		Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Rx Individual Deductible			Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Rx Family Deductible			Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 15/100%	IN	Skilled Nursing	100%	100 visits per calendar year	Premier HMO 15/100%	Premier HMO 15/100%	Premier HMO 15/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Individual Deductible	$0 		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Family Deductible	$0 		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Individual OOP Limit	"$1,500 "		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Family OOP Limit	"$3,000 "		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Co-insurance	100%		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	PCP	$20 		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Specialist	$20 		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Preventive Care	100%		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Physical Therapy	$20 	Limited to 60-day period of care	Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Chiropractic Care		Rider available	Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Inpatient Hospital	100%		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Outpatient Facility	100%		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Outpatient Surgery	100%		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Lab/X-Ray	100%		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Advanced Radiology	$100 		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Emergency Room	$100 	waived if admitted	Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Ambulance	$100 	per trip 	Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Urgent Care	$20 		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Rx Generic	$10 		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Rx Preferred	$25 		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Rx Non-Preferred	$45 		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Rx Specialty	20%	up to $150 maximum copay	Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Rx Mail Order	2x		Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Rx Individual Deductible			Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Rx Family Deductible			Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 20/100%	IN	Skilled Nursing	100%	100 visits per calendar year	Premier HMO 20/100%	Premier HMO 20/100%	Premier HMO 20/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Individual Deductible	$0 		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Family Deductible	$0 		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Individual OOP Limit	"$1,500 "		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Family OOP Limit	"$3,000 "		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Co-insurance	100%		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	PCP	$30 		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Specialist	$30 		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Preventive Care	100%		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Physical Therapy	$30 	Limited to 60-day period of care	Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Chiropractic Care		Rider available	Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Inpatient Hospital	100%		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Outpatient Facility	100%		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Outpatient Surgery	100%		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Lab/X-Ray	100%		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Advanced Radiology	$100 		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Emergency Room	$100 	waived if admitted	Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Ambulance	$100 	per trip 	Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Urgent Care	$30 		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Rx Generic	$10 		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Rx Preferred	$25 		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Rx Non-Preferred	$45 		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Rx Specialty	20%	up to $150 maximum copay	Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Rx Mail Order	2x		Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Rx Individual Deductible			Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Rx Family Deductible			Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 30/100%	IN	Skilled Nursing	100%	100 visits per calendar year	Premier HMO 30/100%	Premier HMO 30/100%	Premier HMO 30/100%
Anthem Blue Cross	Premier HMO 15  	IN	Individual Deductible	$0 		Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Family Deductible	$0 		Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Individual OOP Limit	"$1,500 "		Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Family OOP Limit	"$3,000 "		Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Co-insurance	100%		Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	PCP	$15 		Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Specialist	$15 		Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Preventive Care	100%		Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Physical Therapy	$15 	Limited to 60-day period of care	Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Chiropractic Care		Rider available	Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Inpatient Hospital	$100 	per admit	Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Outpatient Facility	$50 	per occurance	Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Outpatient Surgery	$50 	per occurance	Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Lab/X-Ray	100%		Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Advanced Radiology	$100 		Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Emergency Room	$100 	waived if admitted	Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Ambulance	$100 	per trip 	Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Urgent Care	$15 		Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Rx Generic	$10 		Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Rx Preferred	$25 		Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Rx Non-Preferred	$45 		Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Rx Specialty	20%	up to $150 maximum copay	Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Rx Mail Order	2x		Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Rx Individual Deductible			Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Rx Family Deductible			Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 15  	IN	Skilled Nursing	100%	100 visits per calendar year	Premier HMO 15  	Premier HMO 15  	Premier HMO 15  
Anthem Blue Cross	Premier HMO 20	IN	Individual Deductible	$0 		Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Family Deductible	$0 		Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Individual OOP Limit	"$1,500 "		Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Family OOP Limit	"$3,000 "		Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Co-insurance	100%		Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	PCP	$20 		Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Specialist	$20 		Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Preventive Care	100%		Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Physical Therapy	$20 	Limited to 60-day period of care	Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Chiropractic Care		Rider available	Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Inpatient Hospital	$200 	per admit	Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Outpatient Facility	$100 	per occurance	Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Outpatient Surgery	$100 	per occurance	Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Lab/X-Ray	100%		Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Advanced Radiology	$100 		Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Emergency Room	$100 	waived if admitted	Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Ambulance	$100 	per trip 	Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Urgent Care	$20 		Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Rx Generic	$10 		Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Rx Preferred	$25 		Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Rx Non-Preferred	$45 		Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Rx Specialty	20%	up to $150 maximum copay	Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Rx Mail Order	2x		Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Rx Individual Deductible			Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Rx Family Deductible			Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 20	IN	Skilled Nursing	100%	100 visits per calendar year	Premier HMO 20	Premier HMO 20	Premier HMO 20
Anthem Blue Cross	Premier HMO 25	IN	Individual Deductible	$0 		Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Family Deductible	$0 		Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Individual OOP Limit	"$1,500 "		Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Family OOP Limit	"$3,000 "		Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Co-insurance	100%		Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	PCP	$25 		Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Specialist	$25 		Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Preventive Care	100%		Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Physical Therapy	$25 	Limited to 60-day period of care	Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Chiropractic Care		Rider available	Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Inpatient Hospital	$250 	per admit	Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Outpatient Facility	$125 	per occurance	Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Outpatient Surgery	$125 	per occurance	Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Lab/X-Ray	100%		Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Advanced Radiology	$100 		Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Emergency Room	$100 	waived if admitted	Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Ambulance	$100 	per trip 	Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Urgent Care	$25 		Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Rx Generic	$10 		Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Rx Preferred	$25 		Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Rx Non-Preferred	$45 		Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Rx Specialty	20%	up to $150 maximum copay	Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Rx Mail Order	2x		Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Rx Individual Deductible			Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Rx Family Deductible			Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 25	IN	Skilled Nursing	100%	100 visits per calendar year	Premier HMO 25	Premier HMO 25	Premier HMO 25
Anthem Blue Cross	Premier HMO 30	IN	Individual Deductible	$0 		Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Family Deductible	$0 		Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Individual OOP Limit	"$2,000 "		Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Family OOP Limit	"$4,000 "		Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Co-insurance	100%		Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	PCP	$30 		Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Specialist	$30 		Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Preventive Care	100%		Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Physical Therapy	$30 	Limited to 60-day period of care	Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Chiropractic Care		Rider available	Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Inpatient Hospital	$200 	per admit	Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Outpatient Facility	$100 	per occurance	Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Outpatient Surgery	$100 	per occurance	Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Lab/X-Ray	100%		Premier HMO 30	Premier HMO 30	Premier HMO 30
