Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	HMO	AVN HMO	Basic HMO	Deductible HMO
Aetna	HMO $15A	IN	Urgent Care	$35 		HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Rx Generic	$15 		HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Rx Preferred	$25 		HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Rx Non-Preferred	$40 		HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Rx Specialty	20%	up to $150 maximum copay	HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Rx Mail Order	2x		HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Rx Individual Deductible			HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Rx Family Deductible			HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Skilled Nursing	N/A		HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15/$20 250	IN	Individual Deductible	$0 		HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Family Deductible	$0 		HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Individual OOP Limit	"$2,500 "	Rx copays/coinsurance not included 	HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Family OOP Limit	"$5,000 "	Rx copays/coinsurance not included 	HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Co-insurance	100%		HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	PCP	$15 		HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Specialist	$20 		HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Preventive Care	100%		HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Physical Therapy	$20 	30 visits per calendar year	HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Chiropractic Care	$15 	20 visits per calendar year	HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Inpatient Hospital	$250 	Per admit	HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Outpatient Facility	100%		HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Outpatient Surgery	$200 	per occurance	HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Lab/X-Ray	100%	X-Ray $20 copay	HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Advanced Radiology	$100 	 	HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Emergency Room	$100 	waived if admitted	HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Ambulance	$100 		HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Urgent Care	$35 		HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Rx Generic	$15 		HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Rx Preferred	$25 		HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Rx Non-Preferred	$40 		HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Rx Specialty	20%	up to $150 maximum copay	HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Rx Mail Order	2x		HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Rx Individual Deductible			HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Rx Family Deductible			HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 250	IN	Skilled Nursing	N/A		HMO $15/$20 250	HMO $15/$20 250	HMO $15/$20 250	
Aetna	HMO $15/$20 300	IN	Individual Deductible	$0 		HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Family Deductible	$0 		HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Individual OOP Limit	"$2,500 "	Rx copays/coinsurance not included 	HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Family OOP Limit	"$5,000 "	Rx copays/coinsurance not included 	HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Co-insurance	100%		HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	PCP	$15 		HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Specialist	$20 		HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Preventive Care	100%		HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Physical Therapy	$20 	30 visits per calendar year	HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Chiropractic Care	$15 	20 visits per calendar year	HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Inpatient Hospital	$300 	Per admit	HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Outpatient Facility	$100 	per occurance	HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Outpatient Surgery	$300 	per occurance	HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Lab/X-Ray	100%	X-Ray $20 copay	HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Advanced Radiology	$100 		HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Emergency Room	$100 	waived if admitted	HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Ambulance	$100 		HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Urgent Care	$35 		HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Rx Generic	$15 		HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Rx Preferred	$25 		HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Rx Non-Preferred	$40 		HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Rx Specialty	20%	up to $150 maximum copay	HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Rx Mail Order	2x		HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Rx Individual Deductible			HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Rx Family Deductible			HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $15/$20 300	IN	Skilled Nursing	N/A		HMO $15/$20 300	HMO $15/$20 300	HMO $15/$20 300	
Aetna	HMO $20	IN	Individual Deductible	$0 		HMO $20	HMO $20		
Aetna	HMO $20	IN	Family Deductible	$0 		HMO $20	HMO $20		
Aetna	HMO $20	IN	Individual OOP Limit	"$2,500 "	Rx copays/coinsurance not included 	HMO $20	HMO $20		
Aetna	HMO $20	IN	Family OOP Limit	"$5,000 "	Rx copays/coinsurance not included 	HMO $20	HMO $20		
Aetna	HMO $20	IN	Co-insurance	100%		HMO $20	HMO $20		
Aetna	HMO $20	IN	PCP	$20 		HMO $20	HMO $20		
Aetna	HMO $20	IN	Specialist	$20 		HMO $20	HMO $20		
Aetna	HMO $20	IN	Preventive Care	100%		HMO $20	HMO $20		
Aetna	HMO $20	IN	Physical Therapy	$20 	30 visits per calendar year	HMO $20	HMO $20		
Aetna	HMO $20	IN	Chiropractic Care	$15 	20 visits per calendar year	HMO $20	HMO $20		
Aetna	HMO $20	IN	Inpatient Hospital	$500 	Per admit	HMO $20	HMO $20		
Aetna	HMO $20	IN	Outpatient Facility	$100 	per occurance	HMO $20	HMO $20		
Aetna	HMO $20	IN	Outpatient Surgery	$300 	per occurance	HMO $20	HMO $20		
Aetna	HMO $20	IN	Lab/X-Ray	100%	X-Ray $20 copay	HMO $20	HMO $20		
Aetna	HMO $20	IN	Advanced Radiology	$100 	 	HMO $20	HMO $20		
Aetna	HMO $20	IN	Emergency Room	$100 	waived if admitted	HMO $20	HMO $20		
Aetna	HMO $20	IN	Ambulance	$100 		HMO $20	HMO $20		
Aetna	HMO $20	IN	Urgent Care	$35 		HMO $20	HMO $20		
Aetna	HMO $20	IN	Rx Generic	$15 		HMO $20	HMO $20		
Aetna	HMO $20	IN	Rx Preferred	$25 		HMO $20	HMO $20		
Aetna	HMO $20	IN	Rx Non-Preferred	$40 		HMO $20	HMO $20		
Aetna	HMO $20	IN	Rx Specialty	20%	up to $150 maximum copay	HMO $20	HMO $20		
Aetna	HMO $20	IN	Rx Mail Order	2x		HMO $20	HMO $20		
Aetna	HMO $20	IN	Rx Individual Deductible			HMO $20	HMO $20		
Aetna	HMO $20	IN	Rx Family Deductible			HMO $20	HMO $20		
Aetna	HMO $20	IN	Skilled Nursing	N/A		HMO $20	HMO $20		
Aetna	HMO $20/$25	IN	Individual Deductible	$0 		HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Family Deductible	$0 		HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Individual OOP Limit	"$2,500 "	Rx copays/coinsurance not included 	HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Family OOP Limit	"$5,000 "	Rx copays/coinsurance not included 	HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Co-insurance	100%		HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	PCP	$20 		HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Specialist	$25 		HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Preventive Care	100%		HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Physical Therapy	$25 	30 visits per calendar year	HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Chiropractic Care	$15 	20 visits per calendar year	HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Inpatient Hospital	$500 	Per admit	HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Outpatient Facility	$100 	per occurance	HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Outpatient Surgery	$300 	per occurance	HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Lab/X-Ray	100%	X-Ray $25 copay	HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Advanced Radiology	$100 	 	HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Emergency Room	$100 	waived if admitted	HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Ambulance	$100 		HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Urgent Care	$35 		HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Rx Generic	$20 		HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Rx Preferred	$35 		HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Rx Non-Preferred	$50 		HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Rx Specialty	20%	up to $150 maximum copay	HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Rx Mail Order	2x		HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Rx Individual Deductible			HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Rx Family Deductible			HMO $20/$25	HMO $20/$25		
Aetna	HMO $20/$25	IN	Skilled Nursing	N/A		HMO $20/$25	HMO $20/$25		
Aetna	HMO $30/$40 750	IN	Individual Deductible	$0 		HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Family Deductible	$0 		HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Individual OOP Limit	"$3,000 "	Rx copays/coinsurance not included 	HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Family OOP Limit	"$6,000 "	Rx copays/coinsurance not included 	HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Co-insurance	100%		HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	PCP	$30 		HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Specialist	$40 		HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Preventive Care	100%		HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Physical Therapy	$40 	30 visits per calendar year	HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Chiropractic Care	$15 	20 visits per calendar year	HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Inpatient Hospital	$750 	Per day max 3 days	HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Outpatient Facility	100%		HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Outpatient Surgery	$200 	per occurance	HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Lab/X-Ray	100%	X-Ray $40 copay	HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Advanced Radiology	$100 	 	HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Emergency Room	$100 	waived if admitted	HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Ambulance	$100 		HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Urgent Care	$35 		HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Rx Generic	$15 		HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Rx Preferred	$25 		HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Rx Non-Preferred	$40 		HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Rx Specialty	20%	up to $150 maximum copay	HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Rx Mail Order	2x		HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Rx Individual Deductible			HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Rx Family Deductible			HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 750	IN	Skilled Nursing	N/A		HMO $30/$40 750	HMO $30/$40 750	HMO $30/$40 750	
Aetna	HMO $30/$40 1000	IN	Individual Deductible	$0 		HMO $30/$40 1000	HMO $30/$40 1000	HMO $30/$40 1000	
Aetna	HMO $30/$40 1000	IN	Family Deductible	$0 		HMO $30/$40 1000	HMO $30/$40 1000	HMO $30/$40 1000	
Aetna	HMO $30/$40 1000	IN	Individual OOP Limit	"$3,500 "	Rx copays/coinsurance not included 	HMO $30/$40 1000	HMO $30/$40 1000	HMO $30/$40 1000	
Aetna	HMO $30/$40 1000	IN	Family OOP Limit	"$7,000 "	Rx copays/coinsurance not included 	HMO $30/$40 1000	HMO $30/$40 1000	HMO $30/$40 1000	
Aetna	HMO $30/$40 1000	IN	Co-insurance	100%		HMO $30/$40 1000	HMO $30/$40 1000	HMO $30/$40 1000	
Aetna	HMO $30/$40 1000	IN	PCP	$30 		HMO $30/$40 1000	HMO $30/$40 1000	HMO $30/$40 1000	
Aetna	HMO $30/$40 1000	IN	Specialist	$40 		HMO $30/$40 1000	HMO $30/$40 1000	HMO $30/$40 1000	
Aetna	HMO $30/$40 1000	IN	Preventive Care	100%		HMO $30/$40 1000	HMO $30/$40 1000	HMO $30/$40 1000	
Aetna	HMO $30/$40 1000	IN	Physical Therapy	$40 	30 visits per calendar year	HMO $30/$40 1000	HMO $30/$40 1000	HMO $30/$40 1000	
Aetna	HMO $30/$40 1000	IN	Chiropractic Care	$15 	20 visits per calendar year	HMO $30/$40 1000	HMO $30/$40 1000	HMO $30/$40 1000	
Aetna	HMO $30/$40 1000	IN	Inpatient Hospital	"$1,000 "	Per day max 3 days	HMO $30/$40 1000	HMO $30/$40 1000	HMO $30/$40 1000	
Aetna	HMO $30/$40 1000	IN	Outpatient Facility	$200 	per occurance	HMO $30/$40 1000	HMO $30/$40 1000	HMO $30/$40 1000	
Aetna	HMO $30/$40 1000	IN	Outpatient Surgery	$500 	per occurance	HMO $30/$40 1000	HMO $30/$40 1000	HMO $30/$40 1000	
Aetna	HMO $30/$40 1000	IN	Lab/X-Ray	100%	X-Ray $40 copay	HMO $30/$40 1000	HMO $30/$40 1000	HMO $30/$40 1000	
Aetna	HMO $30/$40 1000	IN	Advanced Radiology	$100 	 	HMO $30/$40 1000	HMO $30/$40 1000	HMO $30/$40 1000	
