Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Signature	Advantage	Alliance
United Health Care		IN	Rx Mail Order	2x		KA6	KJ3	KS7
United Health Care		IN	Rx Individual Deductible			KA6	KJ3	KS7
United Health Care		IN	Rx Family Deductible			KA6	KJ3	KS7
United Health Care		IN	Skilled Nursing			KA6	KJ3	KS7
United Health Care		IN	Individual Deductible	$0 		KBO	KJ6	KSI
United Health Care		IN	Family Deductible	$0 		KBO	KJ6	KSI
United Health Care		IN	Individual OOP Limit	"$1,500 "		KBO	KJ6	KSI
United Health Care		IN	Family OOP Limit	"$3,000 "		KBO	KJ6	KSI
United Health Care		IN	Co-insurance	100%		KBO	KJ6	KSI
United Health Care		IN	PCP	$15		KBO	KJ6	KSI
United Health Care			Specialist	$15		KBO	KJ6	KSI
United Health Care		IN	Preventive Care	100%		KBO	KJ6	KSI
United Health Care		IN	Physical Therapy	$15 		KBO	KJ6	KSI
United Health Care		IN	Chiropractic Care		Rider available	KBO	KJ6	KSI
United Health Care		IN	Inpatient Hospital	$500 	per admit	KBO	KJ6	KSI
United Health Care		IN	Outpatient Facility	$400 	per occurance	KBO	KJ6	KSI
United Health Care		IN	Outpatient Surgery	$400 	per occurance	KBO	KJ6	KSI
United Health Care		IN	Lab/X-Ray	100%		KBO	KJ6	KSI
United Health Care		IN	Advanced Radiology	$100 		KBO	KJ6	KSI
United Health Care		IN	Emergency Room	$150 	Waived if admitted	KBO	KJ6	KSI
United Health Care		IN	Ambulance	$100 		KBO	KJ6	KSI
United Health Care		IN	Urgent Care	$15 		KBO	KJ6	KSI
United Health Care		IN	Rx Generic	 	Separate from Medical 	KBO	KJ6	KSI
United Health Care		IN	Rx Preferred	 	Separate from Medical 	KBO	KJ6	KSI
United Health Care		IN	Rx Non-Preferred	 	Separate from Medical 	KBO	KJ6	KSI
United Health Care		IN	Rx Specialty	 	Separate from Medical 	KBO	KJ6	KSI
United Health Care		IN	Rx Mail Order	2x		KBO	KJ6	KSI
United Health Care		IN	Rx Individual Deductible			KBO	KJ6	KSI
United Health Care		IN	Rx Family Deductible			KBO	KJ6	KSI
United Health Care		IN	Skilled Nursing			KBO	KJ6	KSI
United Health Care		IN	Individual Deductible	$0 		KB3	KKI	KSS
United Health Care		IN	Family Deductible	$0 		KB3	KKI	KSS
United Health Care		IN	Individual OOP Limit	"$1,500 "		KB3	KKI	KSS
United Health Care		IN	Family OOP Limit	"$3,000 "		KB3	KKI	KSS
United Health Care		IN	Co-insurance	100%		KB3	KKI	KSS
United Health Care		IN	PCP	$20		KB3	KKI	KSS
United Health Care			Specialist	$20		KB3	KKI	KSS
United Health Care		IN	Preventive Care	100%		KB3	KKI	KSS
United Health Care		IN	Physical Therapy	$20 		KB3	KKI	KSS
United Health Care		IN	Chiropractic Care		Rider available	KB3	KKI	KSS
United Health Care		IN	Inpatient Hospital	100%		KB3	KKI	KSS
United Health Care		IN	Outpatient Facility	100%		KB3	KKI	KSS
United Health Care		IN	Outpatient Surgery	100%		KB3	KKI	KSS
United Health Care		IN	Lab/X-Ray	100%		KB3	KKI	KSS
United Health Care		IN	Advanced Radiology	$100 		KB3	KKI	KSS
United Health Care		IN	Emergency Room	$150 	Waived if admitted	KB3	KKI	KSS
United Health Care		IN	Ambulance	$100 		KB3	KKI	KSS
United Health Care		IN	Urgent Care	$20 		KB3	KKI	KSS
United Health Care		IN	Rx Generic		Separate from Medical 	KB3	KKI	KSS
United Health Care		IN	Rx Preferred		Separate from Medical 	KB3	KKI	KSS
United Health Care		IN	Rx Non-Preferred		Separate from Medical 	KB3	KKI	KSS
United Health Care		IN	Rx Specialty		Separate from Medical 	KB3	KKI	KSS
United Health Care		IN	Rx Mail Order	2x		KB3	KKI	KSS
United Health Care		IN	Rx Individual Deductible			KB3	KKI	KSS
United Health Care		IN	Rx Family Deductible			KB3	KKI	KSS
United Health Care		IN	Skilled Nursing			KB3	KKI	KSS
United Health Care		IN	Individual Deductible	$0 		KB6	KL1	KSV
United Health Care		IN	Family Deductible	$0 		KB6	KL1	KSV
United Health Care		IN	Individual OOP Limit	"$1,500 "		KB6	KL1	KSV
United Health Care		IN	Family OOP Limit	"$3,000 "		KB6	KL1	KSV
United Health Care		IN	Co-insurance	100%		KB6	KL1	KSV
United Health Care		IN	PCP	$20		KB6	KL1	KSV
United Health Care			Specialist	$20		KB6	KL1	KSV
United Health Care		IN	Preventive Care	100%		KB6	KL1	KSV
United Health Care		IN	Physical Therapy	$20 		KB6	KL1	KSV
United Health Care		IN	Chiropractic Care		Rider available	KB6	KL1	KSV
United Health Care		IN	Inpatient Hospital	$250 	per admit	KB6	KL1	KSV
United Health Care		IN	Outpatient Facility	$200 	per occurance	KB6	KL1	KSV
United Health Care		IN	Outpatient Surgery	$200 	per occurance	KB6	KL1	KSV
United Health Care		IN	Lab/X-Ray	100%		KB6	KL1	KSV
United Health Care		IN	Advanced Radiology	$100 		KB6	KL1	KSV
United Health Care		IN	Emergency Room	$150 	Waived if admitted	KB6	KL1	KSV
United Health Care		IN	Ambulance	$100 		KB6	KL1	KSV
United Health Care		IN	Urgent Care	$20 		KB6	KL1	KSV
United Health Care		IN	Rx Generic		Separate from Medical 	KB6	KL1	KSV
United Health Care		IN	Rx Preferred		Separate from Medical 	KB6	KL1	KSV
United Health Care		IN	Rx Non-Preferred		Separate from Medical 	KB6	KL1	KSV
United Health Care		IN	Rx Specialty		Separate from Medical 	KB6	KL1	KSV
United Health Care		IN	Rx Mail Order	2x		KB6	KL1	KSV
United Health Care		IN	Rx Individual Deductible			KB6	KL1	KSV
United Health Care		IN	Rx Family Deductible			KB6	KL1	KSV
United Health Care		IN	Individual Deductible	$0 		KD0	KL4	KT1
United Health Care		IN	Family Deductible	$0 		KD0	KL4	KT1
United Health Care		IN	Individual OOP Limit	"$1,500 "		KD0	KL4	KT1
United Health Care		IN	Family OOP Limit	"$3,000 "		KD0	KL4	KT1
United Health Care		IN	Co-insurance	100%		KD0	KL4	KT1
United Health Care		IN	PCP	$20		KD0	KL4	KT1
United Health Care			Specialist	$20		KD0	KL4	KT1
United Health Care		IN	Preventive Care	100%		KD0	KL4	KT1
United Health Care		IN	Physical Therapy	$20 		KD0	KL4	KT1
United Health Care		IN	Chiropractic Care		Rider available	KD0	KL4	KT1
United Health Care		IN	Inpatient Hospital	$500 	per admit	KD0	KL4	KT1
United Health Care		IN	Outpatient Facility	$400 	per occurance	KD0	KL4	KT1
United Health Care		IN	Outpatient Surgery	$400 	per occurance	KD0	KL4	KT1
United Health Care		IN	Lab/X-Ray	100%		KD0	KL4	KT1
United Health Care		IN	Advanced Radiology	$100 		KD0	KL4	KT1
United Health Care		IN	Emergency Room	$150 	Waived if admitted	KD0	KL4	KT1
United Health Care		IN	Ambulance	$100 		KD0	KL4	KT1
United Health Care		IN	Urgent Care	$20 		KD0	KL4	KT1
United Health Care		IN	Rx Generic		Separate from Medical 	KD0	KL4	KT1
United Health Care		IN	Rx Preferred		Separate from Medical 	KD0	KL4	KT1
United Health Care		IN	Rx Non-Preferred		Separate from Medical 	KD0	KL4	KT1
United Health Care		IN	Rx Specialty		Separate from Medical 	KD0	KL4	KT1
United Health Care		IN	Rx Mail Order	2x		KD0	KL4	KT1
United Health Care		IN	Rx Individual Deductible			KD0	KL4	KT1
United Health Care		IN	Rx Family Deductible			KD0	KL4	KT1
United Health Care		IN	Skilled Nursing			KD0	KL4	KT1
United Health Care		IN	Individual Deductible	$0 		KD3	KL7	KT4
United Health Care		IN	Family Deductible	$0 		KD3	KL7	KT4
United Health Care		IN	Individual OOP Limit	"$1,500 "		KD3	KL7	KT4
United Health Care		IN	Family OOP Limit	"$3,000 "		KD3	KL7	KT4
United Health Care		IN	Co-insurance	100%		KD3	KL7	KT4
United Health Care		IN	PCP	$25		KD3	KL7	KT4
United Health Care			Specialist	$25		KD3	KL7	KT4
United Health Care		IN	Preventive Care	100%		KD3	KL7	KT4
United Health Care		IN	Physical Therapy	$25 		KD3	KL7	KT4
United Health Care		IN	Chiropractic Care		Rider available	KD3	KL7	KT4
United Health Care		IN	Inpatient Hospital	$250 	per admit	KD3	KL7	KT4
United Health Care		IN	Outpatient Facility	$200 	per occurance	KD3	KL7	KT4
United Health Care		IN	Outpatient Surgery	$200 	per occurance	KD3	KL7	KT4
United Health Care		IN	Lab/X-Ray	100%		KD3	KL7	KT4
United Health Care		IN	Advanced Radiology	$100 		KD3	KL7	KT4
United Health Care		IN	Emergency Room	$150 	Waived if admitted	KD3	KL7	KT4
United Health Care		IN	Ambulance	$100 		KD3	KL7	KT4
United Health Care		IN	Urgent Care	$25 		KD3	KL7	KT4
United Health Care		IN	Rx Generic		Separate from Medical 	KD3	KL7	KT4
United Health Care		IN	Rx Preferred		Separate from Medical 	KD3	KL7	KT4
United Health Care		IN	Rx Non-Preferred		Separate from Medical 	KD3	KL7	KT4
United Health Care		IN	Rx Specialty		Separate from Medical 	KD3	KL7	KT4
United Health Care		IN	Rx Mail Order	2x		KD3	KL7	KT4
United Health Care		IN	Rx Individual Deductible			KD3	KL7	KT4
United Health Care		IN	Rx Family Deductible			KD3	KL7	KT4
United Health Care		IN	Skilled Nursing			KD3	KL7	KT4
United Health Care		IN	Individual Deductible	$0 		KD6	KC0	KT7
United Health Care		IN	Family Deductible	$0 		KD6	KC0	KT7
United Health Care		IN	Individual OOP Limit	"$1,500 "		KD6	KC0	KT7
United Health Care		IN	Family OOP Limit	"$3,000 "		KD6	KC0	KT7
United Health Care		IN	Co-insurance	100%		KD6	KC0	KT7
United Health Care		IN	PCP	$25		KD6	KC0	KT7
United Health Care			Specialist	$25		KD6	KC0	KT7
United Health Care		IN	Preventive Care	100%		KD6	KC0	KT7
United Health Care		IN	Physical Therapy	$25 		KD6	KC0	KT7
United Health Care		IN	Chiropractic Care		Rider available	KD6	KC0	KT7
United Health Care		IN	Inpatient Hospital	$500 	per admit	KD6	KC0	KT7
United Health Care		IN	Outpatient Facility	$400 	per occurance	KD6	KC0	KT7
United Health Care		IN	Outpatient Surgery	$400 	per occurance	KD6	KC0	KT7
United Health Care		IN	Lab/X-Ray	100%		KD6	KC0	KT7
United Health Care		IN	Advanced Radiology	$100 		KD6	KC0	KT7
United Health Care		IN	Emergency Room	$150 	Waived if admitted	KD6	KC0	KT7
United Health Care		IN	Ambulance	$100 		KD6	KC0	KT7
United Health Care		IN	Urgent Care	$25 		KD6	KC0	KT7
United Health Care		IN	Rx Generic		Separate from Medical 	KD6	KC0	KT7
United Health Care		IN	Rx Preferred		Separate from Medical 	KD6	KC0	KT7
United Health Care		IN	Rx Non-Preferred		Separate from Medical 	KD6	KC0	KT7
United Health Care		IN	Rx Specialty		Separate from Medical 	KD6	KC0	KT7
United Health Care		IN	Rx Mail Order	2x		KD6	KC0	KT7
United Health Care		IN	Rx Individual Deductible			KD6	KC0	KT7
United Health Care		IN	Rx Family Deductible			KD6	KC0	KT7
United Health Care		IN	Skilled Nursing			KD6	KC0	KT7
United Health Care		IN	Individual Deductible	$0 		KAO	KM1	KTG
United Health Care		IN	Family Deductible	$0 		KAO	KM1	KTG
United Health Care		IN	Individual OOP Limit	"$1,500 "		KAO	KM1	KTG
United Health Care		IN	Family OOP Limit	"$3,000 "		KAO	KM1	KTG
United Health Care		IN	Co-insurance	100%		KAO	KM1	KTG
United Health Care		IN	PCP	$10		KAO	KM1	KTG
United Health Care			Specialist	$20		KAO	KM1	KTG
United Health Care		IN	Preventive Care	100%		KAO	KM1	KTG
United Health Care		IN	Physical Therapy	$20 		KAO	KM1	KTG
United Health Care		IN	Chiropractic Care		Rider available	KAO	KM1	KTG
United Health Care		IN	Inpatient Hospital	$150 	Per day Max 3 days	KAO	KM1	KTG
United Health Care		IN	Outpatient Facility	$100 	per occurance	KAO	KM1	KTG
United Health Care		IN	Outpatient Surgery	$100 	per occurance	KAO	KM1	KTG
United Health Care		IN	Lab/X-Ray	100%		KAO	KM1	KTG
United Health Care		IN	Advanced Radiology	$100 		KAO	KM1	KTG
United Health Care		IN	Emergency Room	$150 	Waived if admitted	KAO	KM1	KTG
United Health Care		IN	Ambulance	$100 		KAO	KM1	KTG
United Health Care		IN	Urgent Care	$20 		KAO	KM1	KTG
United Health Care		IN	Rx Generic		Separate from Medical 	KAO	KM1	KTG
United Health Care		IN	Rx Preferred		Separate from Medical 	KAO	KM1	KTG
United Health Care		IN	Rx Non-Preferred		Separate from Medical 	KAO	KM1	KTG
United Health Care		IN	Rx Specialty		Separate from Medical 	KAO	KM1	KTG
United Health Care		IN	Rx Mail Order	2x		KAO	KM1	KTG
United Health Care		IN	Rx Individual Deductible			KAO	KM1	KTG
United Health Care		IN	Rx Family Deductible			KAO	KM1	KTG
United Health Care		IN	Skilled Nursing			KAO	KM1	KTG
United Health Care		IN	Individual Deductible	$0 		KAI	KM4	KTJ
United Health Care		IN	Family Deductible	$0 		KAI	KM4	KTJ
United Health Care		IN	Individual OOP Limit	"$1,500 "		KAI	KM4	KTJ
United Health Care		IN	Family OOP Limit	"$3,000 "		KAI	KM4	KTJ
United Health Care		IN	Co-insurance	100%		KAI	KM4	KTJ
United Health Care		IN	PCP	$10		KAI	KM4	KTJ
United Health Care			Specialist	$20		KAI	KM4	KTJ
United Health Care		IN	Preventive Care	100%		KAI	KM4	KTJ
United Health Care		IN	Physical Therapy	$20 		KAI	KM4	KTJ
United Health Care		IN	Chiropractic Care		Rider available	KAI	KM4	KTJ
United Health Care		IN	Inpatient Hospital	$250 	Per day Max 3 days	KAI	KM4	KTJ
United Health Care		IN	Outpatient Facility	$200 	per occurance	KAI	KM4	KTJ
United Health Care		IN	Outpatient Surgery	$200 	per occurance	KAI	KM4	KTJ
United Health Care		IN	Lab/X-Ray	100%		KAI	KM4	KTJ
United Health Care		IN	Advanced Radiology	$100 		KAI	KM4	KTJ
United Health Care		IN	Emergency Room	$150 	Waived if admitted	KAI	KM4	KTJ
United Health Care		IN	Ambulance	$100 		KAI	KM4	KTJ
United Health Care		IN	Urgent Care	$20 		KAI	KM4	KTJ
United Health Care		IN	Rx Generic		Separate from Medical 	KAI	KM4	KTJ
United Health Care		IN	Rx Preferred		Separate from Medical 	KAI	KM4	KTJ
United Health Care		IN	Rx Non-Preferred		Separate from Medical 	KAI	KM4	KTJ
United Health Care		IN	Rx Specialty		Separate from Medical 	KAI	KM4	KTJ
United Health Care		IN	Rx Mail Order	2x		KAI	KM4	KTJ
United Health Care		IN	Rx Individual Deductible			KAI	KM4	KTJ
United Health Care		IN	Rx Family Deductible			KAI	KM4	KTJ
United Health Care		IN	Skilled Nursing			KAI	KM4	KTJ
United Health Care		IN	Individual Deductible	$0 		KE0	KM7	KTM
United Health Care		IN	Family Deductible	$0 		KE0	KM7	KTM
United Health Care		IN	Individual OOP Limit	"$1,500 "		KE0	KM7	KTM
United Health Care		IN	Family OOP Limit	"$3,000 "		KE0	KM7	KTM
United Health Care		IN	Co-insurance	100%		KE0	KM7	KTM
United Health Care		IN	PCP	$20		KE0	KM7	KTM
United Health Care			Specialist	$30		KE0	KM7	KTM
United Health Care		IN	Preventive Care	100%		KE0	KM7	KTM
United Health Care		IN	Physical Therapy	$30 		KE0	KM7	KTM
United Health Care		IN	Chiropractic Care		Rider available	KE0	KM7	KTM
United Health Care		IN	Inpatient Hospital	$150 	Per day Max 3 days	KE0	KM7	KTM
United Health Care		IN	Outpatient Facility	$100 	per occurance	KE0	KM7	KTM
United Health Care		IN	Outpatient Surgery	$100 	per occurance	KE0	KM7	KTM
United Health Care		IN	Lab/X-Ray	100%		KE0	KM7	KTM
United Health Care		IN	Advanced Radiology	$100 		KE0	KM7	KTM
United Health Care		IN	Emergency Room	$150 	Waived if admitted	KE0	KM7	KTM
United Health Care		IN	Ambulance	$100 		KE0	KM7	KTM
United Health Care		IN	Urgent Care	$30 		KE0	KM7	KTM
United Health Care		IN	Rx Generic		Separate from Medical 	KE0	KM7	KTM
United Health Care		IN	Rx Preferred		Separate from Medical 	KE0	KM7	KTM
United Health Care		IN	Rx Non-Preferred		Separate from Medical 	KE0	KM7	KTM
United Health Care		IN	Rx Specialty		Separate from Medical 	KE0	KM7	KTM
United Health Care		IN	Rx Mail Order	2x		KE0	KM7	KTM
United Health Care		IN	Rx Individual Deductible			KE0	KM7	KTM
United Health Care		IN	Rx Family Deductible			KE0	KM7	KTM
United Health Care		IN	Skilled Nursing			KE0	KM7	KTM
United Health Care		IN	Individual Deductible	$0 		KE3	KN	KTP
United Health Care		IN	Family Deductible	$0 		KE3	KN	KTP
United Health Care		IN	Individual OOP Limit	"$1,500 "		KE3	KN	KTP
United Health Care		IN	Family OOP Limit	"$3,000 "		KE3	KN	KTP
United Health Care		IN	Co-insurance	100%		KE3	KN	KTP
United Health Care		IN	PCP	$25		KE3	KN	KTP
United Health Care			Specialist	$25		KE3	KN	KTP
United Health Care		IN	Preventive Care	100%		KE3	KN	KTP
United Health Care		IN	Physical Therapy	$25 		KE3	KN	KTP
United Health Care		IN	Chiropractic Care		Rider available	KE3	KN	KTP
United Health Care		IN	Inpatient Hospital	100%		KE3	KN	KTP
United Health Care		IN	Outpatient Facility	100%		KE3	KN	KTP
United Health Care		IN	Outpatient Surgery	100%		KE3	KN	KTP
United Health Care		IN	Lab/X-Ray	100%		KE3	KN	KTP
United Health Care		IN	Advanced Radiology	$100 		KE3	KN	KTP
United Health Care		IN	Emergency Room	$150 	Waived if admitted	KE3	KN	KTP
United Health Care		IN	Ambulance	$100 		KE3	KN	KTP
United Health Care		IN	Urgent Care	$25 		KE3	KN	KTP
United Health Care		IN	Rx Generic		Separate from Medical 	KE3	KN	KTP
United Health Care		IN	Rx Preferred		Separate from Medical 	KE3	KN	KTP
United Health Care		IN	Rx Non-Preferred		Separate from Medical 	KE3	KN	KTP
United Health Care		IN	Rx Specialty		Separate from Medical 	KE3	KN	KTP
United Health Care		IN	Rx Mail Order	2x		KE3	KN	KTP
United Health Care		IN	Rx Individual Deductible			KE3	KN	KTP
United Health Care		IN	Rx Family Deductible			KE3	KN	KTP
United Health Care		IN	Skilled Nursing			KE3	KN	KTP
United Health Care		IN	Individual Deductible	$0 		KE6	KO1	KTS
United Health Care		IN	Family Deductible	$0 		KE6	KO1	KTS
United Health Care		IN	Individual OOP Limit	"$1,500 "		KE6	KO1	KTS
United Health Care		IN	Family OOP Limit	"$3,000 "		KE6	KO1	KTS
United Health Care		IN	Co-insurance	100%		KE6	KO1	KTS
United Health Care		IN	PCP	$25		KE6	KO1	KTS
United Health Care			Specialist	$35		KE6	KO1	KTS
United Health Care		IN	Preventive Care	100%		KE6	KO1	KTS
United Health Care		IN	Physical Therapy	$35 		KE6	KO1	KTS
United Health Care		IN	Chiropractic Care		Rider available	KE6	KO1	KTS
United Health Care		IN	Inpatient Hospital	$150 	Per day Max 3 days	KE6	KO1	KTS
United Health Care		IN	Outpatient Facility	$100 	per occurance	KE6	KO1	KTS
United Health Care		IN	Outpatient Surgery	$100 	per occurance	KE6	KO1	KTS
United Health Care		IN	Lab/X-Ray	100%		KE6	KO1	KTS
United Health Care		IN	Advanced Radiology	$100 		KE6	KO1	KTS
United Health Care		IN	Emergency Room	$150 	Waived if admitted	KE6	KO1	KTS
United Health Care		IN	Ambulance	$100 		KE6	KO1	KTS
United Health Care		IN	Urgent Care	$35 		KE6	KO1	KTS
United Health Care		IN	Rx Generic		Separate from Medical 	KE6	KO1	KTS
United Health Care		IN	Rx Preferred		Separate from Medical 	KE6	KO1	KTS
United Health Care		IN	Rx Non-Preferred		Separate from Medical 	KE6	KO1	KTS
United Health Care		IN	Rx Specialty		Separate from Medical 	KE6	KO1	KTS
United Health Care		IN	Rx Mail Order	2x		KE6	KO1	KTS
United Health Care		IN	Rx Individual Deductible			KE6	KO1	KTS
United Health Care		IN	Rx Family Deductible			KE6	KO1	KTS
United Health Care		IN	Skilled Nursing			KE6	KO1	KTS
United Health Care		IN	Individual Deductible	$0 		KF0	KO4	KTV
United Health Care		IN	Family Deductible	$0 		KF0	KO4	KTV
United Health Care		IN	Individual OOP Limit	"$2,500 "		KF0	KO4	KTV
United Health Care		IN	Family OOP Limit	"$5,000 "		KF0	KO4	KTV
United Health Care		IN	Co-insurance	100%		KF0	KO4	KTV
United Health Care		IN	PCP	$15		KF0	KO4	KTV
United Health Care			Specialist	$30		KF0	KO4	KTV
United Health Care		IN	Preventive Care	100%		KF0	KO4	KTV
United Health Care		IN	Physical Therapy	$30 		KF0	KO4	KTV
United Health Care		IN	Chiropractic Care		Rider available	KF0	KO4	KTV
United Health Care		IN	Inpatient Hospital	$250 	Per day Max 3 days	KF0	KO4	KTV
United Health Care		IN	Outpatient Facility	$200 	per occurance	KF0	KO4	KTV
United Health Care		IN	Outpatient Surgery	$200 	per occurance	KF0	KO4	KTV
United Health Care		IN	Lab/X-Ray	100%		KF0	KO4	KTV
United Health Care		IN	Advanced Radiology	$100 		KF0	KO4	KTV
United Health Care		IN	Emergency Room	$150 	Waived if admitted	KF0	KO4	KTV
United Health Care		IN	Ambulance	$100 		KF0	KO4	KTV
United Health Care		IN	Urgent Care	$30 		KF0	KO4	KTV
United Health Care		IN	Rx Generic		Separate from Medical 	KF0	KO4	KTV
United Health Care		IN	Rx Preferred		Separate from Medical 	KF0	KO4	KTV
United Health Care		IN	Rx Non-Preferred		Separate from Medical 	KF0	KO4	KTV
United Health Care		IN	Rx Specialty		Separate from Medical 	KF0	KO4	KTV
United Health Care		IN	Rx Mail Order	2x		KF0	KO4	KTV
United Health Care		IN	Rx Individual Deductible			KF0	KO4	KTV
United Health Care		IN	Rx Family Deductible			KF0	KO4	KTV
United Health Care		IN	Skilled Nursing			KF0	KO4	KTV
United Health Care		IN	Individual Deductible	$0 		KF3	KO7	KIZ
United Health Care		IN	Family Deductible	$0 		KF3	KO7	KIZ
United Health Care		IN	Individual OOP Limit	"$2,500 "		KF3	KO7	KIZ
United Health Care		IN	Family OOP Limit	"$5,000 "		KF3	KO7	KIZ
United Health Care		IN	Co-insurance	100%		KF3	KO7	KIZ
United Health Care		IN	PCP	$25		KF3	KO7	KIZ
United Health Care			Specialist	$40		KF3	KO7	KIZ
United Health Care		IN	Preventive Care	100%		KF3	KO7	KIZ
United Health Care		IN	Physical Therapy	$40 		KF3	KO7	KIZ
United Health Care		IN	Chiropractic Care		Rider available	KF3	KO7	KIZ
United Health Care		IN	Inpatient Hospital	$250 	Per day Max 3 days	KF3	KO7	KIZ
United Health Care		IN	Outpatient Facility	$200 	per occurance	KF3	KO7	KIZ
United Health Care		IN	Outpatient Surgery	$200 	per occurance	KF3	KO7	KIZ
United Health Care		IN	Lab/X-Ray	100%		KF3	KO7	KIZ
United Health Care		IN	Advanced Radiology	$100 		KF3	KO7	KIZ
