Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Full Network	Select Network	Value Network
Cigna	B	IN	Lab/X-Ray	100%		HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Advanced Radiology	$0 		HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Emergency Room	$100 	waived if admitted 	HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Ambulance	$0 		HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Urgent Care	$25 		HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Rx Generic	$10 		HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Rx Preferred	$20 		HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Rx Non-Preferred	$40 		HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Rx Specialty	n/a		HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Rx Mail Order	2x		HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Rx Individual Deductible			HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Rx Family Deductible			HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Skilled Nursing	100%	100 day max	HMO Plan B	HMO Plan B	HMO Plan B
Cigna	C	IN	Individual Deductible	$0 		HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Family Deductible	$0 		HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Individual OOP Limit	"$2,000 "	Includes all copays except Rx	HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Family OOP Limit	"$4,000 "	Includes all copays except Rx	HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Co-insurance	100%		HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	PCP	$20 		HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Specialist	$20 		HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Preventive Care	100%		HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Physical Therapy	$20 	Unlimited max	HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Chiropractic Care	$10 	20 visit max	HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Inpatient Hospital	$100 	per day max 5 days	HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Outpatient Facility	$250 	Per occurance	HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Outpatient Surgery	$250 	Per occurance	HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Lab/X-Ray	100%		HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Advanced Radiology	$100 	Per occurance	HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Emergency Room	$100 	waived if admitted 	HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Ambulance	100%		HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Urgent Care	$25 		HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Rx Generic	$10 		HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Rx Preferred	$20 		HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Rx Non-Preferred	$40 		HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Rx Specialty	n/a		HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Rx Mail Order	2x		HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Rx Individual Deductible			HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Rx Family Deductible			HMO Plan C	HMO Plan C	HMO Plan C
Cigna	C	IN	Skilled Nursing	100%	100 day max	HMO Plan C	HMO Plan C	HMO Plan C
Cigna	D	IN	Individual Deductible	$0 		HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Family Deductible	$0 		HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Individual OOP Limit	"$2,500 "	Includes all copays except Rx	HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Family OOP Limit	"$5,000 "	Includes all copays except Rx	HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Co-insurance	100%		HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	PCP	$20 		HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Specialist	$30 		HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Preventive Care	100%		HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Physical Therapy	$20 	Unlimited max	HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Chiropractic Care	$10 	20 visit max	HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Inpatient Hospital	$250 	per day max 5 days	HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Outpatient Facility	$100 	Per occurance	HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Outpatient Surgery	$100 	Per occurance	HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Lab/X-Ray	100%		HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Advanced Radiology	$250 	Per occurance	HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Emergency Room	$125 	waived if admitted 	HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Ambulance	100%		HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Urgent Care	$30 		HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Rx Generic	$10 		HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Rx Preferred	$20 		HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Rx Non-Preferred	$40 		HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Rx Specialty	n/a		HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Rx Mail Order	2x		HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Rx Individual Deductible			HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Rx Family Deductible			HMO Plan D	HMO Plan D	HMO Plan D
Cigna	D	IN	Skilled Nursing	100%	100 day max	HMO Plan D	HMO Plan D	HMO Plan D
Cigna	E	IN	Individual Deductible	$500 		HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Family Deductible	"$1,000 "		HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Individual OOP Limit	"$3,000 "	Includes deductible and all copays except Rx	HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Family OOP Limit	"$6,000 "	Includes deductible and all copays except Rx	HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Co-insurance	100%		HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	PCP	$20 		HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Specialist	$30 		HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Preventive Care	100%		HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Physical Therapy	$30 	Unlimited max	HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Chiropractic Care	$10 	20 visit max	HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Inpatient Hospital	100%	after deductible	HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Outpatient Facility	100%	after deductible	HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Outpatient Surgery	100%	after deductible	HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Lab/X-Ray	100%		HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Advanced Radiology	$250 	per occurance after deductible	HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Emergency Room	$150 	waived if admitted 	HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Ambulance	100%		HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Urgent Care	$50 		HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Rx Generic	$15 		HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Rx Preferred	$30 		HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Rx Non-Preferred	$50 		HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Rx Specialty	n/a		HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Rx Mail Order	2x		HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Rx Individual Deductible			HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Rx Family Deductible			HMO Plan E	HMO Plan E	HMO Plan E
Cigna	E	IN	Skilled Nursing	100%	After deductible 100 day max	HMO Plan E	HMO Plan E	HMO Plan E
Cigna	F	IN	Individual Deductible	"$2,000 "		HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Family Deductible	"$4,000 "		HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Individual OOP Limit	"$3,000 "	Includes deductible and all copays except Rx	HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Family OOP Limit	"$9,000 "	Includes deductible and all copays except Rx	HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Co-insurance	20%		HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	PCP	$30 		HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Specialist	$30 		HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Preventive Care	100%		HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Physical Therapy	$30 	Unlimited max	HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Chiropractic Care	$10 	20 visit max	HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Inpatient Hospital	$150 	"per day 5 days plus 20%, after deductible"	HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Outpatient Facility	20%	after deductible	HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Outpatient Surgery	20%	after deductible	HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Lab/X-Ray	100%		HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Advanced Radiology	$250 	per occurance after deductible	HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Emergency Room	$200 	waived if admitted 	HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Ambulance	100%		HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Urgent Care	$40 		HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Rx Generic	$15 		HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Rx Preferred	$30 		HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Rx Non-Preferred	$50 		HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Rx Specialty	n/a		HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Rx Mail Order	2x		HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Rx Individual Deductible			HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Rx Family Deductible			HMO Plan F	HMO Plan F	HMO Plan F
Cigna	F	IN	Skilled Nursing	20%	After deductible 100 day max	HMO Plan F	HMO Plan F	HMO Plan F
Cigna	G	IN	Individual Deductible	"$1,500 "		HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Family Deductible	"$3,000 "		HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Individual OOP Limit	"$3,000 "	Includes deductible and all copays except Rx	HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Family OOP Limit	"$6,000 "	Includes deductible and all copays except Rx	HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Co-insurance	80%		HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	PCP	$30 		HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Specialist	$40 		HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Preventive Care	100%		HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Physical Therapy	$40 	Unlimited max	HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Chiropractic Care	$10 	20 visit max	HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Inpatient Hospital	$300 	" per day 5 days plus 20%, after deductible"	HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Outpatient Facility	$100 	" per occurance plus 20%, after deductible"	HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Outpatient Surgery	$100 	" per occurance plus 20%, after deductible"	HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Lab/X-Ray	100%		HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Advanced Radiology	$250 	"plus 20%, after deductible"	HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Emergency Room	$200 		HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Ambulance	100%		HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Urgent Care	$40 		HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Rx Generic	$15 		HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Rx Preferred	$30 		HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Rx Non-Preferred	$50 		HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Rx Specialty	n/a		HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Rx Mail Order	2x		HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Rx Individual Deductible			HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Rx Family Deductible			HMO Plan G	HMO Plan G	HMO Plan G
Cigna	G	IN	Skilled Nursing	20%	After deductible 100 day max	HMO Plan G	HMO Plan G	HMO Plan G
Cigna	H	IN	Individual Deductible	"$1,000 "		HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Family Deductible	"$2,000 "		HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Individual OOP Limit	"$3,500 "	Includes deductible and all copays except Rx	HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Family OOP Limit	"$10,500 "	Includes deductible and all copays except Rx	HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Co-insurance	70%		HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	PCP	$30 		HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Specialist	$50 		HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Preventive Care	100%		HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Physical Therapy	$50 	Unlimited max	HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Chiropractic Care	$10 	20 visit max	HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Inpatient Hospital	$450 	"per day 5 days plus 30%, after deductible"	HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Outpatient Facility	$250 	"per occurance plus 30%, after deductible"	HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Outpatient Surgery	$250 	"per occurance plus 30%, after deductible"	HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Lab/X-Ray	100%		HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Advanced Radiology	$250 	"per occurance plus 30%, after deductible"	HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Emergency Room	$200 		HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Ambulance	100%		HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Urgent Care	$50 		HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Rx Generic	$15 		HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Rx Preferred	$30 		HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Rx Non-Preferred	$50 		HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Rx Specialty			HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Rx Mail Order	2x		HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Rx Individual Deductible			HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Rx Family Deductible			HMO Plan H	HMO Plan H	HMO Plan H
Cigna	H	IN	Skilled Nursing	30%	After deductible 100 day max	HMO Plan H	HMO Plan H	HMO Plan H
